,node,pmax,pmin,storage_cap,pump_cap,fuelcost,inflow_fac,storage_ini,storage_price,pump_efficiency,pump_deadband,gen_lat,gen_lon,desc,inflow_ref,type,year,status,source,storval_filling_ref,storval_time_ref
8,DK1,1532.742268,0.0,0.0,0.0,15.0,1.0,0.6,1.0,0.0,0.0,,,DK1 biomass,const,biomass,,updated,,const,const
9,DK1,813.9256723999999,0.0,0.0,0.0,137.52,1.0,0.6,1.0,0.0,0.0,,,DK1 fossil_gas,const,fossil_gas,,updated,,const,const
10,DK1,2635.6556253,0.0,0.0,0.0,110.19,1.0,0.6,1.0,0.0,0.0,,,DK1 fossil_other,const,fossil_other,,updated,,const,const
11,DK1,1213.3854443,0.0,0.0,0.0,0.01,0.8000000000000002,0.6,1.0,0.0,0.0,,,DK1 solar,DK1_solar_stock,solar,,updated,,const,const
12,DK1,1268.1016231,0.0,0.0,0.0,0.015,0.8000000000000002,0.6,1.0,0.0,0.0,55.614861000000005,7.797499999999999,DK1 wind_off,DK1_wind_offshore_new,wind_off,,updated,,const,const
13,DK1,3848.7858572,0.0,0.0,0.0,0.015,0.8000000000000002,0.6,1.0,0.0,0.0,,,DK1 wind_on,DK1_wind_onshore_new,wind_on,,updated,,const,const
14,DK2,865.257732,0.0,0.0,0.0,15.0,1.0,0.6,1.0,0.0,0.0,,,DK2 biomass,const,biomass,,updated,,const,const
15,DK2,840.0743275,0.0,0.0,0.0,137.52,1.0,0.6,1.0,0.0,0.0,,,DK2 fossil_gas,const,fossil_gas,,updated,,const,const
16,DK2,1788.3443742,0.0,0.0,0.0,110.19,1.0,0.6,1.0,0.0,0.0,,,DK2 fossil_other,const,fossil_other,,updated,,const,const
17,DK2,410.6145557,0.0,0.0,0.0,0.01,0.8,0.6,1.0,0.0,0.0,,,DK2 solar,DK2_solar_stock,solar,,updated,,const,const
18,DK2,431.8983769,0.0,0.0,0.0,0.015,0.8,0.6,1.0,0.0,0.0,54.56,11.55,DK2 wind_off,DK2_wind_offshore_new,wind_off,,updated,,const,const
19,DK2,709.2141431,0.0,0.0,0.0,0.015,0.8,0.6,1.0,0.0,0.0,,,DK2 wind_on,DK2_wind_onshore_new,wind_on,,updated,,const,const
20,EE,187.3,0.0,0.0,0.0,32.0,1.0,,,,,,,EE biomass,const,biomass,,,,,
21,EE,15.3,0.0,0.0,0.0,137.52,1.0,,,,,,,EE fossil_gas,const,fossil_gas,,,,,
22,EE,1408.4,0.0,0.0,0.0,110.19,1.0,,,,,,,EE fossil_other,const,fossil_other,,,,,
23,EE,8.0,0.0,0.0,0.0,1.0,0.46,0.6,25.0,,,,,EE hydro,inflow_NO1,hydro,,,,hydro,const
24,EE,0.0,0.0,0.0,0.0,9.37,1.0,,,,,,,EE nuclear,const,nuclear,,,,,
25,EE,812.0,0.0,0.0,0.0,0.01,0.8,,1.0,,,,,EE solar,EST_solar_stock,solar,,,,,
26,EE,0.0,0.0,0.0,0.0,0.015,0.5,,,,,,,EE wind_off,EST_wind_offshore_new,wind_off,,,,,
27,EE,447.0,0.0,0.0,0.0,0.015,0.75,,,,,,,EE wind_on,EST_wind_onshore_new,wind_on,,,,,
28,FI,2782.99999991,0.0,0.0,0.0,15.0,1.0,0.6,1.0,0.0,0.0,,,FI biomass,const,biomass,,created,,const,const
29,FI,1742.0,0.0,0.0,0.0,137.52,1.0,0.6,1.0,0.0,0.0,,,FI fossil_gas,const,fossil_gas,,created,,const,const
30,FI,3222.00000021,0.0,0.0,0.0,110.18999999999998,1.0,0.6,1.0,0.0,0.0,,,FI fossil_other,const,fossil_other,,created,,const,const
31,FI,344.0,0.0,595405.32082,0.0,0.0,0.4600000000000001,0.6,17.22222222222222,0.0,0.5555555555555556,,,FI hydro,inflow_NO1,hydro,,created,,hydro,const
32,FI,4364.0,872.8,0.0,0.0,9.37,1.0,0.6,1.0,0.0,0.0,,,FI nuclear,const,nuclear,,updated,,const,const
33,FI,2851.00000005,0.0,4934594.6791,0.0,0.0,0.46,0.6,17.321428571428573,0.0,0.0,,,FI ror,inflow_NO1,ror,,created,,ror,const
34,FI,46.999999998,0.0,0.0,0.0,0.01,0.8,0.6,1.0,0.0,0.0,,,FI solar,FIN_solar_stock,solar,,created,,const,const
35,FI,44.0,0.0,0.0,0.0,0.015,0.8,0.6,1.0,0.0,0.0,61.629,21.354,FI wind_off,FIN_wind_offshore_new,wind_off,,updated,,const,const
36,FI,8223.9999998,0.0,0.0,0.0,0.015,0.8,0.6,1.0,0.0,0.0,,,FI wind_on,FIN_wind_onshore_new,wind_on,,updated,,const,const
45,LT,303.0,0.0,0.0,0.0,15.0,1.0,,,,,,,LT biomass,const,biomass,,,,,
46,LT,1503.0,0.0,0.0,0.0,137.52,1.0,,,,,,,LT fossil_gas,const,fossil_gas,,,,,
47,LT,0.0,0.0,0.0,0.0,110.19,1.0,,,,,,,LT fossil_other,const,fossil_other,,,,,
48,LT,1029.0,0.0,0.0,0.0,1.0,0.46,0.6,25.0,,,,,LT hydro,inflow_NO1,hydro,,,,hydro,const
49,LT,0.0,0.0,0.0,0.0,9.37,1.0,,,,,,,LT nuclear,const,nuclear,,,,,
50,LT,1165.0,0.0,0.0,0.0,0.01,0.8,,1.0,,,,,LT solar,LTU_solar_stock,solar,,,,,
51,LT,0.0,0.0,0.0,0.0,0.015,0.5,,,,,,,LT wind_off,LTU_wind_offshore_new,wind_off,,,,,
52,LT,1288.0,0.0,0.0,0.0,0.015,0.75,,,,,,,LT wind_on,LTU_wind_onshore_new,wind_on,,,,,
61,NO1,34.000000004,0.0,0.0,0.0,15.0,1.0,0.6,1.0,0.0,0.0,,,NO1 biomass,const,biomass,,created,,const,const
62,NO1,7.000000001,0.0,0.0,0.0,137.52,1.0,0.6,1.0,0.0,0.0,,,NO1 fossil_gas,const,fossil_gas,,created,,const,const
65,NO1,17.0,0.0,0.0,0.0,0.01,0.8,0.6,1.0,0.0,0.0,,,NO1 solar,NO1_solar_stock,solar,,created,,const,const
66,NO1,405.99999995,0.0,0.0,0.0,0.015,0.8,0.6,1.0,0.0,0.0,,,NO1 wind_on,NO1_wind_onshore_new,wind_on,,updated,,const,const
67,NO2,21.999999995,0.0,0.0,0.0,15.0,1.0,0.6,1.0,0.0,0.0,,,NO2 biomass,const,biomass,,created,,const,const
68,NO2,23.000000002,0.0,0.0,0.0,137.52,1.0,0.6,1.0,0.0,0.0,,,NO2 fossil_gas,const,fossil_gas,,created,,const,const
71,NO2,10.67560609,0.0,0.0,0.0,0.01,0.8,0.6,1.0,0.0,0.0,,,NO2 solar,NO2_solar_stock,solar,,updated,,const,const
