scenario,total_system,total_norway,NO1,NO2,NO3,NO4,NO5,DK1,DK2,EE,FI,LT,SE1,SE2,SE3,SE4,SNII,UN,VVD
N-LLPS+,3.6487854,0.6194797,0.016238913,0.19127694,0.108500734,0.14291671,0.16054647,1.1237354,0.006906014,7.577996e-05,0.09367965,0.0024649347,0.6045544,1.1745975,5.3171258e-05,0.023238463,0.0,0.0,0.0
OWN-LLPS+,3.9494386,0.6551946,0.017928608,0.1956779,0.11214941,0.1409388,0.18849991,1.1509762,0.006965509,7.97007e-05,0.094530694,0.0024047238,0.61463267,1.188854,5.3210304e-05,0.025209317,0.16160990905761718,0.04892832565307617,0.0
OW-LLPS+,4.821911,0.75601333,0.022488747,0.23695177,0.12774728,0.1366904,0.2321351,1.2029003,0.007048423,7.970146e-05,0.09826843,0.0026267194,0.6140892,1.2029687,5.321363e-05,0.025295814,0.5241863403320313,0.07278936004638673,0.3155908813476562
N-BA+,3.29903,0.45063034,0.0104995025,0.15393418,0.06886775,0.09047099,0.12685794,1.0937018,0.006456236,7.6255266e-05,0.089096345,0.0021241826,0.5559433,1.0807362,5.3133703e-05,0.020212175,0.0,0.0,0.0
OWN-BA+,3.5670476,0.47713733,0.010400588,0.1593218,0.069953874,0.08901313,0.14844792,1.125643,0.0064775287,7.8284e-05,0.09022398,0.0019089864,0.5608562,1.0876493,5.3197997e-05,0.022775905,0.148725341796875,0.04551852798461914,0.0
OW-BA+,4.3331575,0.5548257,0.014515576,0.20145035,0.07684956,0.08157423,0.18043602,1.1763785,0.0066195955,7.364733e-05,0.09375615,0.0024505167,0.5521416,1.0932238,5.3161755e-05,0.023022054,0.4974006958007812,0.06882012939453125,0.26439218139648435
N-LLPS,3.6077144,0.57464826,0.011825912,0.18580177,0.107953764,0.13409072,0.13497607,1.1220689,0.0069014374,7.865184e-05,0.09294538,0.0023527155,0.6078179,1.1768988,5.312022e-05,0.02394927,0.0,0.0,0.0
OWN-LLPS,3.9048629,0.6134288,0.01315994,0.19270618,0.1158077,0.1299667,0.16178825,1.1545067,0.00699154,7.797755e-05,0.09342733,0.002406849,0.60916317,1.1991177,5.319731e-05,0.024723196,0.15455567932128905,0.046410560607910156,0.0
OW-LLPS,4.73687,0.7052294,0.018952264,0.23222974,0.13215855,0.122930445,0.19895838,1.203894,0.007031566,7.755027e-05,0.09646792,0.0026099733,0.61172044,1.2088078,5.3183652e-05,0.02509476,0.5060762939453125,0.06940352630615235,0.30040310668945314
N-BA,3.2416263,0.40463006,0.006817825,0.14637236,0.06979809,0.079521134,0.10212065,1.0909693,0.006418013,7.5135744e-05,0.08864464,0.0020194896,0.54967016,1.0772355,5.3082797e-05,0.021911122,0.0,0.0,0.0
OWN-BA,3.521839,0.43442658,0.008572709,0.15457019,0.072613075,0.07705059,0.121619985,1.1249759,0.006473566,7.407244e-05,0.089667074,0.0021315848,0.55915606,1.0928289,5.3179607e-05,0.021995006,0.14529983520507814,0.04475700378417969,0.0
OW-BA,4.2306523,0.50202924,0.010968027,0.191056,0.08122203,0.07262153,0.14616166,1.1790634,0.0066048116,7.680611e-05,0.09310548,0.0021957296,0.5541881,1.0850831,5.312172e-05,0.022283342,0.4735781860351562,0.06531686401367187,0.24707382202148437
