Scenario,Area,Consumer Surplus (M€),Producer Surplus (M€),Societal Surplus (M€),Avg Price (€/MWh)
B+,NO1,32847.74,885.42,33733.16,57.95
B+,NO2,33729.48,2584.13,36313.61,59.75
B+,NO3,27341.29,401.82,27743.11,32.35
B+,NO4,19790.19,17.18,19807.37,12.83
B+,NO5,16030.18,1012.62,17042.79,56.38
B+,SE1,10623.33,13.06,10636.39,12.52
B+,SE2,14854.54,5.92,14860.46,13.02
B+,SE3,78575.59,2353.74,80929.33,57.20
B+,SE4,20532.23,446.85,20979.08,56.54
B+,DK1,20955.36,1839.89,22795.24,66.57
B+,DK2,13300.64,463.31,13763.96,57.65
B+,FI,73929.78,2915.54,76845.33,64.20
N-LLPS+,NO1,38577.74,1135.62,39713.36,53.07
N-LLPS+,NO2,39593.36,2524.75,42118.11,55.36
N-LLPS+,NO3,30742.16,1080.86,31823.02,68.80
N-LLPS+,NO4,22835.33,317.11,23152.44,25.10
N-LLPS+,NO5,18811.81,924.19,19736.00,52.24
N-LLPS+,SE1,10577.82,124.46,10702.28,16.75
N-LLPS+,SE2,14789.71,207.71,14997.42,17.33
N-LLPS+,SE3,78667.52,2265.71,80933.23,56.09
N-LLPS+,SE4,20556.38,437.59,20993.97,55.43
N-LLPS+,DK1,20993.16,1748.45,22741.61,64.89
N-LLPS+,DK2,13316.80,448.31,13765.11,56.51
N-LLPS+,FI,73891.91,2961.44,76853.34,64.68
OWN-LLPS+,NO1,38535.40,1129.10,39664.50,54.11
OWN-LLPS+,NO2,39635.15,2523.65,42158.80,54.36
OWN-LLPS+,NO3,30720.42,1095.84,31816.26,69.46
OWN-LLPS+,NO4,22819.42,333.93,23153.35,25.78
OWN-LLPS+,NO5,18793.18,940.02,19733.20,53.18
OWN-LLPS+,SE1,10575.61,130.03,10705.64,16.95
OWN-LLPS+,SE2,14786.75,215.12,15001.87,17.53
OWN-LLPS+,SE3,78658.71,2276.87,80935.59,56.20
OWN-LLPS+,SE4,20554.06,438.30,20992.36,55.53
OWN-LLPS+,DK1,21007.40,1709.70,22717.09,64.26
OWN-LLPS+,DK2,13316.45,448.60,13765.04,56.53
OWN-LLPS+,FI,73882.46,2971.73,76854.20,64.80
OW-LLPS+,NO1,37921.93,1042.70,38964.62,69.17
OW-LLPS+,NO2,39720.32,2585.91,42306.23,52.33
OW-LLPS+,NO3,30517.15,1194.43,31711.58,75.62
OW-LLPS+,NO4,22779.99,371.25,23151.24,27.47
OW-LLPS+,NO5,18519.94,1323.98,19843.91,66.95
OW-LLPS+,SE1,10569.24,143.84,10713.08,17.55
OW-LLPS+,SE2,14776.86,246.95,15023.81,18.18
OW-LLPS+,SE3,78541.84,2377.10,80918.93,57.60
OW-LLPS+,SE4,20523.92,454.44,20978.36,56.92
OW-LLPS+,DK1,21034.36,1640.87,22675.24,63.05
OW-LLPS+,DK2,13306.00,458.30,13764.31,57.27
OW-LLPS+,FI,73845.16,3007.67,76852.84,65.27
N-BA+,NO1,38775.19,1024.47,39799.65,48.23
N-BA+,NO2,39729.39,2348.26,42077.66,52.12
N-BA+,NO3,31234.89,845.15,32080.04,53.88
N-BA+,NO4,22897.84,256.30,23154.15,22.44
N-BA+,NO5,18904.98,829.32,19734.30,47.55
N-BA+,SE1,10580.81,116.49,10697.30,16.47
N-BA+,SE2,14794.51,196.16,14990.67,17.01
N-BA+,SE3,78745.41,2194.74,80940.15,55.16
N-BA+,SE4,20575.89,424.24,21000.13,54.53
N-BA+,DK1,21004.85,1722.37,22727.22,64.37
N-BA+,DK2,13323.78,441.25,13765.04,56.01
N-BA+,FI,73910.88,2940.75,76851.62,64.44
OWN-BA+,NO1,38774.39,994.07,39768.45,48.25
OWN-BA+,NO2,39782.26,2321.31,42103.57,50.85
OWN-BA+,NO3,31241.13,842.17,32083.29,53.69
OWN-BA+,NO4,22889.11,265.25,23154.37,22.81
OWN-BA+,NO5,18904.79,826.69,19731.47,47.56
OWN-BA+,SE1,10577.42,124.99,10702.41,16.79
OWN-BA+,SE2,14789.51,210.81,15000.32,17.34
OWN-BA+,SE3,78756.27,2187.78,80944.05,55.03
OWN-BA+,SE4,20578.65,422.58,21001.23,54.40
OWN-BA+,DK1,21018.92,1685.07,22703.99,63.74
OWN-BA+,DK2,13324.91,440.33,13765.23,55.93
OWN-BA+,FI,73908.62,2944.06,76852.67,64.47
OW-BA+,NO1,38359.20,898.53,39257.73,58.44
OW-BA+,NO2,39829.35,2431.54,42260.89,49.73
OW-BA+,NO3,31080.54,927.00,32007.54,58.55
OW-BA+,NO4,22849.71,303.95,23153.66,24.49
OW-BA+,NO5,18723.58,1107.06,19830.64,56.69
OW-BA+,SE1,10570.08,140.86,10710.94,17.47
OW-BA+,SE2,14778.22,245.91,15024.13,18.09
OW-BA+,SE3,78639.27,2291.68,80930.95,56.43
OW-BA+,SE4,20548.47,438.58,20987.05,55.79
OW-BA+,DK1,21039.68,1630.63,22670.31,62.82
OW-BA+,DK2,13312.93,451.48,13764.41,56.78
OW-BA+,FI,73874.38,2977.80,76852.16,64.90
