Scenario,Region,Consumer Surplus (M€),Producer Surplus (M€),Societal Surplus (M€)
B,Norway,129738.9,4901.2,134640.0
B,All Nordic,362510.4,12939.5,375449.8
N-LLPS+,Norway,150560.4,5982.5,156542.9
N-LLPS+,All Nordic,383353.7,14176.2,397529.9
OWN-LLPS+,Norway,150503.6,6022.5,156526.1
OWN-LLPS+,All Nordic,383285.0,14212.9,397497.9
OW-LLPS+,Norway,149459.3,6518.3,155977.6
OW-LLPS+,All Nordic,382056.7,14847.4,396904.2
N-BA+,Norway,151542.3,5303.5,156845.8
N-BA+,All Nordic,384478.4,13339.5,397817.9
OWN-BA+,Norway,151591.7,5249.5,156841.2
OWN-BA+,All Nordic,384546.0,13265.1,397811.1
OW-BA+,Norway,150842.4,5668.1,156510.5
OW-BA+,All Nordic,383605.4,13845.0,397450.4
