scenario,area,technology,generation_gwh,curtailed_gwh,revenue_meur,opex_meur,net_revenue_meur,capacity_factor,value_factor,revenue_per_mwh,breakeven_capex_eur_per_kw,construction_years,gross_generation_gwh,generation_twh
N-LLPS+,NO1,Nuclear,14719.06,-16.238913,744.27454,388.58316,355.69138,0.8402955532073975,1.1225516,50.56536102294922,2638.258056640625,5,,14.71906
N-LLPS+,NO2,Nuclear,6736.5645,-191.27692,370.3681,177.84529,192.52281,0.8560080528259277,1.074615,54.97877883911133,3178.435791015625,5,,6.7365646
N-LLPS+,NO3,Nuclear,0.0,-108.50071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
N-LLPS+,NO4,Nuclear,0.0,-142.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
N-LLPS+,NO5,Nuclear,0.0,-160.54645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
OWN-LLPS+,NO1,Nuclear,13082.437,-17.928608,673.76636,345.3763,328.39005,0.8406597375869751,1.1219755,51.5015983581543,2741.6591796875,5,,13.082437
OWN-LLPS+,NO2,Nuclear,0.0,-195.67792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
OWN-LLPS+,NO3,Nuclear,0.0,-112.149376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
OWN-LLPS+,NO4,Nuclear,0.0,-140.9388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
OWN-LLPS+,NO5,Nuclear,0.0,-188.49991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
OWN-LLPS+,SNII,Offshore Wind,7001.349,-161.60991,336.28967,169.43266,166.85701,0.5592412352561951,0.9825735,48.032127380371094,1385.7457275390625,4,6839.7392578125,7.001349
OWN-LLPS+,UN,Offshore Wind,2234.8594,-48.92832,106.95156,54.0836,52.86796,0.5004425048828125,0.97778124,47.85606002807617,1229.3902587890625,4,2185.93115234375,2.2348595
OW-LLPS+,SNII,Offshore Wind,15180.773,-524.1863,658.81866,367.37473,291.44394,0.5592412948608398,0.9455904,43.39822769165039,1129.5382080078125,4,14656.5869140625,15.180774
OW-LLPS+,UN,Offshore Wind,2258.7205,-72.78936,98.40899,54.661037,43.74795,0.5004425048828125,0.94704044,43.5684700012207,1017.313720703125,4,2185.93115234375,2.2587204
