Scenario,Area,Mean_Price,Median_Price,P95_Price,P5_Price,Max_Price,Min_Price,Std_Price
BASELINE,NO2,74.00,77.29,110.15,10.03,999.76,0.01,30.21
BASELINE,NO4,36.92,22.16,88.76,9.36,1000.00,0.01,83.46
SMR300_BA,NO2,68.50,71.44,110.11,9.87,999.68,0.01,26.93
SMR300_BA,NO4,20.21,15.00,50.52,1.92,1000.00,0.01,32.88
SMR600_BA,NO2,62.89,64.84,108.68,9.37,999.76,0.01,27.74
SMR600_BA,NO4,13.12,11.29,26.51,0.01,999.87,0.01,12.03
SMR900_BA,NO2,51.48,48.33,106.35,9.35,365.83,0.01,28.32
SMR900_BA,NO4,9.77,9.37,15.29,0.01,110.19,0.01,5.10
SMR1200_BA,NO2,35.81,24.77,98.47,9.00,359.42,0.01,28.49
SMR1200_BA,NO4,8.64,9.06,10.63,0.01,110.18,0.01,3.25
SMR1600_BA,NO2,23.52,14.88,91.73,9.00,359.42,0.01,24.76
SMR1600_BA,NO4,8.39,9.00,9.33,0.01,110.16,0.01,2.30
LMR2000_BA,NO2,44.22,41.28,96.96,9.00,359.42,0.01,26.59
LMR2000_BA,NO4,25.44,15.00,63.29,5.44,1000.00,0.01,71.01
LMR3000_BA,NO2,21.55,15.58,72.31,8.99,359.09,0.01,20.85
LMR3000_BA,NO4,20.77,11.48,43.02,0.01,1000.00,0.01,75.25
LMR4000_BA,NO2,13.41,11.24,21.79,1.58,310.64,0.01,13.05
LMR4000_BA,NO4,14.11,9.67,20.18,0.01,1000.00,0.01,49.55
SMR300_LLPS,NO2,69.28,71.69,110.15,9.37,999.76,0.01,38.07
SMR300_LLPS,NO4,21.16,15.00,53.40,0.01,1000.00,0.01,47.30
SMR600_LLPS,NO2,63.59,65.56,110.11,9.36,999.76,0.01,29.92
SMR600_LLPS,NO4,13.45,11.29,26.78,0.01,999.87,0.01,21.47
SMR900_LLPS,NO2,54.02,51.98,108.60,9.00,999.76,0.01,31.65
SMR900_LLPS,NO4,9.78,9.37,15.49,0.01,999.87,0.01,6.87
SMR1200_LLPS,NO2,39.62,28.24,104.22,9.00,999.76,0.01,32.01
SMR1200_LLPS,NO4,8.65,9.07,10.88,0.01,110.20,0.01,4.64
SMR1600_LLPS,NO2,26.36,15.01,95.57,9.00,999.76,0.01,27.78
SMR1600_LLPS,NO4,8.25,9.00,9.33,0.01,110.16,0.01,2.79
LMR2000_LLPS,NO2,47.02,44.73,101.48,9.00,365.94,0.01,28.46
LMR2000_LLPS,NO4,29.75,15.00,71.46,0.01,1000.00,0.01,94.18
LMR3000_LLPS,NO2,24.59,16.62,91.03,2.98,359.31,0.01,23.96
LMR3000_LLPS,NO4,25.09,11.73,49.19,0.01,1000.00,0.01,96.90
LMR4000_LLPS,NO2,14.96,11.62,32.17,1.47,358.98,0.01,16.50
LMR4000_LLPS,NO4,19.13,9.82,25.26,0.01,1000.00,0.01,81.31
