Scenario,Area,"Mean (€/MWh, vol-weighted)",Std Dev (€/MWh)
BASELINE,NO1,57.945187,53.041363
BASELINE,NO2,59.74698,27.64467
BASELINE,NO3,32.350407,57.166214
BASELINE,NO4,12.830849,13.678227
BASELINE,NO5,56.38494,52.99627
BASELINE,SE1,12.517195,9.63411
BASELINE,SE2,13.022901,10.212398
BASELINE,SE3,57.195225,42.05795
BASELINE,SE4,56.53558,42.06852
BASELINE,DK1,66.57387,33.4395
BASELINE,DK2,57.65298,38.627983
BASELINE,FI,64.20203,98.24405
LLPS_N,NO1,53.07252,47.402096
LLPS_N,NO2,55.359013,27.811817
LLPS_N,NO3,68.80061,132.33937
LLPS_N,NO4,25.104143,59.483322
LLPS_N,NO5,52.24456,47.404472
LLPS_N,SE1,16.747784,15.016735
LLPS_N,SE2,17.330265,15.507242
LLPS_N,SE3,56.092064,43.57789
LLPS_N,SE4,55.42617,43.585567
LLPS_N,DK1,64.89016,34.230217
LLPS_N,DK2,56.508118,38.31252
LLPS_N,FI,64.681465,98.20998
LLPS_OWN,NO1,54.111786,52.68433
LLPS_OWN,NO2,54.361942,28.589743
LLPS_OWN,NO3,69.45903,132.91965
LLPS_OWN,NO4,25.783298,60.9843
LLPS_OWN,NO5,53.18328,52.685497
LLPS_OWN,SE1,16.95326,15.398189
LLPS_OWN,SE2,17.527052,15.83841
LLPS_OWN,SE3,56.197777,43.804848
LLPS_OWN,SE4,55.53277,43.81206
LLPS_OWN,DK1,64.255875,34.69104
LLPS_OWN,DK2,56.533283,38.142757
LLPS_OWN,FI,64.801025,98.259995
LLPS_OW,NO1,69.1701,108.07259
LLPS_OW,NO2,52.329884,30.377937
LLPS_OW,NO3,75.61617,146.24521
LLPS_OW,NO4,27.466787,65.92592
LLPS_OW,NO5,66.94937,108.050446
LLPS_OW,SE1,17.545397,16.39677
LLPS_OW,SE2,18.184637,16.98365
LLPS_OW,SE3,57.600113,46.808006
LLPS_OW,SE4,56.917675,46.810593
LLPS_OW,DK1,63.054832,35.65683
LLPS_OW,DK2,57.273148,38.14997
LLPS_OW,FI,65.27322,98.44355
BA_N,NO1,48.228523,35.17062
BA_N,NO2,52.11553,26.595892
BA_N,NO3,53.876846,104.473305
BA_N,NO4,22.4374,49.296852
BA_N,NO5,47.552383,35.184834
BA_N,SE1,16.470375,14.812284
BA_N,SE2,17.011814,15.274981
BA_N,SE3,55.157513,40.707188
BA_N,SE4,54.52953,40.718594
BA_N,DK1,64.36938,34.22805
BA_N,DK2,56.013607,38.012127
BA_N,FI,64.441376,97.99906
BA_OWN,NO1,48.2482,36.5653
BA_OWN,NO2,50.854263,27.107327
BA_OWN,NO3,53.68789,103.66022
BA_OWN,NO4,22.81009,49.915718
BA_OWN,NO5,47.56205,36.554394
BA_OWN,SE1,16.785076,14.714738
BA_OWN,SE2,17.343801,15.198479
BA_OWN,SE3,55.027267,40.031845
BA_OWN,SE4,54.40277,40.043915
BA_OWN,DK1,63.74256,34.676956
BA_OWN,DK2,55.93412,37.858574
BA_OWN,FI,64.46983,97.97895
BA_OW,NO1,58.43947,82.61879
BA_OW,NO2,49.73082,28.35237
BA_OW,NO3,58.55212,114.38005
BA_OW,NO4,24.492283,55.116745
BA_OW,NO5,56.69166,82.560036
BA_OW,SE1,17.467882,15.688889
BA_OW,SE2,18.093813,16.211967
BA_OW,SE3,56.43119,42.42697
BA_OW,SE4,55.78949,42.434505
BA_OW,DK1,62.817978,35.43783
BA_OW,DK2,56.78253,37.71863
BA_OW,FI,64.903435,98.004906
