Group,Load,Scenario,Uprate,"Mean (€/MWh, vol-weighted)",Std Dev (€/MWh)
N,LLPS,LLPS_N_NoUprate,No,54.973988,78.368744
N,BA,BA_N_NoUprate,No,48.59959,63.107784
OWN,LLPS,LLPS_OWN_NoUprate,No,55.40911,80.144684
OWN,BA,BA_OWN_NoUprate,No,48.52795,62.99144
OW,LLPS,LLPS_OW_NoUprate,No,61.707645,103.71636
OW,BA,BA_OW_NoUprate,No,52.732903,82.27875
N,LLPS,LLPS_N,Yes,52.71721,73.42198
N,BA,BA_N,Yes,46.541424,58.35874
OWN,LLPS,LLPS_OWN,Yes,53.074738,75.32453
OWN,BA,BA_OWN,Yes,46.230743,58.50003
OW,LLPS,LLPS_OW,Yes,59.64483,100.854805
OW,BA,BA_OW,Yes,50.945145,78.932785
BASELINE,-,BASELINE_NoUprate,No,47.621883,48.009426
BASELINE,-,BASELINE,Yes,46.26052,47.35938
