Scenario,Reactor_Type,Load_Profile,Nuclear_Config,Region,Consumer_Surplus_BEur,Producer_Surplus_BEur,Societal_Surplus_BEur
BASELINE,None,BA,N/A,Norway,152.17,9.66,161.83
BASELINE,None,BA,N/A,All_Nordic,382.74,20.46,403.20
SMR300_BA,SMR,BA,5×300MW SMR,Norway,155.36,7.82,163.17
SMR300_BA,SMR,BA,5×300MW SMR,All_Nordic,386.81,17.44,404.25
SMR600_BA,SMR,BA,5×600MW SMR,Norway,157.31,6.42,163.73
SMR600_BA,SMR,BA,5×600MW SMR,All_Nordic,389.57,15.01,404.58
SMR900_BA,SMR,BA,5×900MW SMR,Norway,159.31,4.59,163.89
SMR900_BA,SMR,BA,5×900MW SMR,All_Nordic,392.50,12.07,404.58
SMR1200_BA,SMR,BA,5×1200MW SMR,Norway,161.29,2.42,163.71
SMR1200_BA,SMR,BA,5×1200MW SMR,All_Nordic,395.55,8.77,404.32
SMR1600_BA,SMR,BA,5×1600MW SMR,Norway,162.76,0.70,163.46
SMR1600_BA,SMR,BA,5×1600MW SMR,All_Nordic,397.74,6.31,404.05
SMR300_LLPS,SMR,LLPS,5×300MW SMR,Norway,153.57,8.74,162.31
SMR300_LLPS,SMR,LLPS,5×300MW SMR,All_Nordic,384.96,18.41,403.36
SMR600_LLPS,SMR,LLPS,5×600MW SMR,Norway,156.10,7.12,163.22
SMR600_LLPS,SMR,LLPS,5×600MW SMR,All_Nordic,388.23,15.84,404.07
SMR900_LLPS,SMR,LLPS,5×900MW SMR,Norway,158.21,5.38,163.59
SMR900_LLPS,SMR,LLPS,5×900MW SMR,All_Nordic,391.23,13.05,404.28
SMR1200_LLPS,SMR,LLPS,5×1200MW SMR,Norway,160.33,3.28,163.61
SMR1200_LLPS,SMR,LLPS,5×1200MW SMR,All_Nordic,394.33,9.88,404.21
SMR1600_LLPS,SMR,LLPS,5×1600MW SMR,Norway,162.14,1.30,163.44
SMR1600_LLPS,SMR,LLPS,5×1600MW SMR,All_Nordic,396.98,7.04,404.02
LMR2000_BA,LMR,BA,2×2000MW LMR,Norway,157.94,5.50,163.44
LMR2000_BA,LMR,BA,2×2000MW LMR,All_Nordic,390.97,13.47,404.44
LMR3000_BA,LMR,BA,2×3000MW LMR,Norway,161.38,1.74,163.11
LMR3000_BA,LMR,BA,2×3000MW LMR,All_Nordic,396.00,7.89,403.89
LMR4000_BA,LMR,BA,2×4000MW LMR,Norway,163.05,-0.08,162.97
LMR4000_BA,LMR,BA,2×4000MW LMR,All_Nordic,398.25,5.39,403.64
LMR2000_LLPS,LMR,LLPS,2×2000MW LMR,Norway,156.04,6.78,162.82
LMR2000_LLPS,LMR,LLPS,2×2000MW LMR,All_Nordic,388.83,14.98,403.81
LMR3000_LLPS,LMR,LLPS,2×3000MW LMR,Norway,159.71,2.97,162.68
LMR3000_LLPS,LMR,LLPS,2×3000MW LMR,All_Nordic,394.19,9.26,403.45
LMR4000_LLPS,LMR,LLPS,2×4000MW LMR,Norway,161.75,0.83,162.58
LMR4000_LLPS,LMR,LLPS,2×4000MW LMR,All_Nordic,396.86,6.41,403.27
