Scenario,Area,Mean Spillage (m³/s),Mean Discharge (m³/s),Spillage/Discharge (%),Num Reservoirs
BASELINE,NO1,2344.77,10318.924,22.72301,
BASELINE,NO2,426.45847,6131.56,6.9551377,
BASELINE,NO3,278.71863,1907.6758,14.610377,
BASELINE,NO4,458.48117,3135.466,14.622424,
BASELINE,NO5,117.26222,1029.3135,11.392275,
LLPS_N,NO1,2369.436,10321.486,22.956347,
LLPS_N,NO2,446.82553,6120.5625,7.3004,
LLPS_N,NO3,261.36642,1912.216,13.668248,
LLPS_N,NO4,436.59683,3158.0735,13.824783,
LLPS_N,NO5,119.757904,1028.0521,11.649011,
LLPS_OWN,NO1,2381.212,10311.994,23.091673,
LLPS_OWN,NO2,458.14,6110.031,7.4981623,
LLPS_OWN,NO3,261.11002,1912.3396,13.653956,
LLPS_OWN,NO4,436.41794,3158.2605,13.818301,
LLPS_OWN,NO5,119.46386,1028.277,11.617867,
LLPS_OW,NO1,2376.5464,10303.203,23.066093,
LLPS_OW,NO2,500.30225,6080.2134,8.228367,
LLPS_OW,NO3,258.26816,1913.5117,13.497077,
LLPS_OW,NO4,430.79813,3163.1382,13.619326,
LLPS_OW,NO5,118.68871,1029.1655,11.532519,
BA_N,NO1,2358.8047,10326.803,22.841578,
BA_N,NO2,443.17023,6125.086,7.235331,
BA_N,NO3,260.00702,1913.3881,13.588828,
BA_N,NO4,429.72086,3164.7222,13.57847,
BA_N,NO5,119.63561,1028.6866,11.629937,
BA_OWN,NO1,2370.864,10319.81,22.973913,
BA_OWN,NO2,457.13242,6111.8013,7.4795036,
BA_OWN,NO3,259.55933,1913.5051,13.5646,
BA_OWN,NO4,432.57208,3161.9326,13.680623,
BA_OWN,NO5,119.38707,1028.8522,11.603909,
BA_OW,NO1,2368.2253,10308.76,22.972942,
BA_OW,NO2,501.17584,6079.283,8.243996,
BA_OW,NO3,255.78867,1915.1233,13.356251,
BA_OW,NO4,426.8179,3167.121,13.476526,
BA_OW,NO5,118.17459,1029.7742,11.475778,
