plant,reservoir,area,scenario,mean_mw,max_mw,p95_mw,p99_mw,zero_fraction
alta,alta,NO4,B,76.9851769300935,172.25010681152344,155.5855712890625,167.51922607421875,0.036023351648351645
alta,alta,NO4,B+,93.59496036170883,309.7004699707031,241.1851348876953,277.7093505859375,0.05675747863247863
alta,alta,NO4,N-BA,76.78084507426031,172.25010681152344,156.34872436523438,167.51922607421875,0.03406974969474969
alta,alta,NO4,N-BA+,93.23365804103238,309.5865783691406,246.58059692382812,283.581787109375,0.050698260073260074
alta,alta,NO4,OWN-BA,76.77189057652608,172.2501220703125,156.35391235351562,167.51922607421875,0.033485958485958485
alta,alta,NO4,OWN-BA+,93.23114966570282,310.0131530761719,246.37925720214844,283.52911376953125,0.049744352869352866
alta,alta,NO4,OW-BA,76.76164487361298,172.25010681152344,156.23867797851562,167.51922607421875,0.033768315018315016
alta,alta,NO4,OW-BA+,93.18477998713857,309.87127685546875,245.42189025878906,283.7671203613281,0.048191391941391944
aura,aura,NO3,B,196.6903426245601,294.9462585449219,294.94580078125,294.9459228515625,0.17618666056166057
aura,aura,NO3,B+,202.8949887263695,770.3989868164062,742.1359252929683,761.8499755859375,0.31744887057387056
aura,aura,NO3,N-BA,201.80960134817673,295.7865905761719,294.9458312988281,294.9459228515625,0.20034722222222223
aura,aura,NO3,N-BA+,204.47235394962908,770.3400268554688,748.8817138671875,761.787353515625,0.3353708791208791
aura,aura,NO3,OWN-BA,201.79064479474886,295.0497741699219,294.9458312988281,294.9459228515625,0.19684447496947496
aura,aura,NO3,OWN-BA+,204.49459062073072,770.3464965820312,749.0167846679688,761.7249145507812,0.3341002747252747
aura,aura,NO3,OW-BA,202.16587132258127,295.0354919433594,294.94580078125,294.9459228515625,0.18896138583638583
aura,aura,NO3,OW-BA+,204.49373163614155,770.1952514648438,748.8145751953125,761.8010864257812,0.31935286935286933
kvanndal,kvanndal,NO2,B,18.633251394955366,40.275421142578125,39.380374908447266,39.79033279418945,0.3238362332112332
kvanndal,kvanndal,NO2,B+,18.529463068124606,79.78184509277344,75.63309516906739,78.32257240295411,0.4135645604395604
kvanndal,kvanndal,NO2,N-BA,18.62095968261512,40.274925231933594,39.3710823059082,39.79730987548828,0.326747557997558
kvanndal,kvanndal,NO2,N-BA+,18.511612680021567,80.58699035644531,75.08415260314942,78.16710662841797,0.41569368131868134
kvanndal,kvanndal,NO2,OWN-BA,18.631811806550914,40.32136917114258,39.414516639709475,39.850781288146976,0.32902167277167277
kvanndal,kvanndal,NO2,OWN-BA+,18.520810801002646,80.5341567993164,75.69563293457031,78.46798706054688,0.42658348595848594
kvanndal,kvanndal,NO2,OW-BA,18.636528486575077,40.317604064941406,39.52269744873047,39.91584095001221,0.3364087301587302
kvanndal,kvanndal,NO2,OW-BA+,18.61333532276516,80.70272827148438,77.06652069091797,79.10077667236328,0.45473519536019535
mauranger,mauranger,NO5,B,120.69153221623971,258.24188232421875,253.60494995117188,257.1802673339844,0.364278083028083
