region,mean_price_eur_mwh,load_twh,generation_twh,consumer_surplus_meur,producer_surplus_meur,societal_surplus_meur,scenario,scenario_folder,load_mode,case,hydro_uprated,is_baseline,baseline,delta_mean_price_eur_mwh,delta_pct_mean_price_eur_mwh,delta_load_twh,delta_pct_load_twh,delta_generation_twh,delta_pct_generation_twh,delta_consumer_surplus_meur,delta_pct_consumer_surplus_meur,delta_producer_surplus_meur,delta_pct_producer_surplus_meur,delta_societal_surplus_meur,delta_pct_societal_surplus_meur
NO,70.79746696435606,158.9395741530314,154.70938243210517,147687.05490260336,8204.723918923693,155891.77882152706,B23-BA,BASELINE_23TWh_BA_FalseHYD_FalseFF_BALOAD_22.91TWH_NoneNUKE_NoneOFF,BA,BASELINE_23TWh,False,True,B23-BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,80.37933434140649,158.93922368085734,154.65732995798243,146163.7946806501,8923.400673767317,155087.19535441743,B23-LLPS,BASELINE_23TWh_LLPS_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_NoneNUKE_NoneOFF,LLPS,BASELINE_23TWh,False,True,B23-LLPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,47.96259531400068,158.9395741530314,175.82156461384417,151316.41967854995,5461.791748472853,156778.21142702282,N-BA,BA_N_FalseHYD_FalseFF_BALOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,BA,N,False,False,B23-BA,-22.83487165035538,-32.25379752901598,0.0,0.0,21.112182181739,13.646348947843654,3629.3647759465966,2.457469802170603,-2742.93217045084,-33.4311330589008,886.4326054957637,0.568620495703367
NO,47.8767046061805,158.9395741530314,176.2183899042819,151330.07111107462,5450.977703518382,156781.048814593,OWN-BA,BA_OWN_FalseHYD_FalseFF_BALOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,BA,OWN,False,False,B23-BA,-22.92076235817556,-32.37511642855149,0.0,0.0,21.509007472176734,13.902846184274603,3643.0162084712647,2.4667132883608254,-2753.746215405311,-33.56293572601467,889.2699930659437,0.5704405965397481
NO,51.201649973146516,158.9395741530314,176.78285831267598,150801.60571036694,5707.604994546348,156509.2107049133,OW-BA,BA_OW_FalseHYD_FalseFF_BALOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,BA,OW,False,False,B23-BA,-19.595816991209546,-27.67869788487676,0.0,0.0,22.07347588057081,14.267703440841958,3114.5508077635895,2.108885446877909,-2497.118924377345,-30.435136502495755,617.431883386249,0.39606442883246384
NO,54.10216023706244,158.93922368085734,175.68942072230462,150340.26833332126,6044.183204879265,156384.45153820052,N-LLPS,LLPS_N_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,LLPS,N,False,False,B23-LLPS,-26.27717410434405,-32.69145523491561,0.0,0.0,21.03209076432219,13.599155481370477,4176.4736526711495,2.8573927365502723,-2879.2174688880523,-32.265921638510186,1297.2561837830872,0.8364689172555448
NO,54.22131408512116,158.93922368085734,176.09009452950477,150321.33011321226,6059.342622108877,156380.67273532113,OWN-LLPS,LLPS_OWN_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,LLPS,OWN,False,False,B23-LLPS,-26.158020256285333,-32.543215828561955,0.0,0.0,21.43276457152234,13.858227461540446,4157.535432562145,2.844435888959949,-2864.0580516584405,-32.09603778162839,1293.4773809036997,0.8340323506062145
NO,60.34594146722496,158.93922368085734,176.74082126103207,149347.88659176615,6534.606965097515,155882.49355686366,OW-LLPS,LLPS_OW_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,LLPS,OW,False,False,B23-LLPS,-20.03339287418153,-24.92356155761489,0.0,0.0,22.08349130304964,14.27898135125527,3184.091911116033,2.178440918336091,-2388.793708669802,-26.769992696756173,795.2982024462253,0.5128071344824745
NO,46.00810445344827,158.9395741530314,176.3306470858015,151627.06562361214,5199.287978691919,156826.35360230407,N-BA+,BA_N_UPRATE_TrueHYD_FalseFF_BALOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,BA,N,True,False,B23-BA,-24.789362510907793,-35.014476610283715,0.0,0.0,21.62126465369633,13.975406218937566,3940.010721008788,2.6678104750664478,-3005.435940231774,-36.63055539626288,934.5747807770094,0.5995022879602643
NO,45.98540079550721,158.9395741530314,176.7427418055615,151630.67413333702,5195.97426441514,156826.64839775214,OWN-BA+,BA_OWN_UPRATE_TrueHYD_FalseFF_BALOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,BA,OWN,True,False,B23-BA,-24.81206616884885,-35.046545071084,0.0,0.0,22.033359373456335,14.241773205400623,3943.6192307336605,2.670253823758892,-3008.7496545085532,-36.670943279018275,934.8695762250863,0.5996913905866539
NO,49.5969494869779,158.9395741530314,177.32289492018728,151056.65612228174,5499.209459017499,156555.86558129924,OW-BA+,BA_OW_UPRATE_TrueHYD_FalseFF_BALOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,BA,OW,True,False,B23-BA,-21.200517477378163,-29.94530508846008,0.0,0.0,22.613512488082108,14.616768635868697,3369.601219678385,2.2815819720290103,-2705.514459906194,-32.97508224092819,664.0867597721808,0.4259921625068257
NO,52.02029765440829,158.93922368085734,176.19991534152467,150671.15795601855,5814.5437730376725,156485.70172905622,N-LLPS+,LLPS_N_UPRATE_TrueHYD_FalseFF_LLPSLOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,LLPS,N,True,False,B23-LLPS,-28.359036686998202,-35.28150229080632,0.0,0.0,21.542585383542246,13.929236583481025,4507.363275368436,3.0837754898307543,-3108.8569007296446,-34.83937362432852,1398.5063746387896,0.9017548943630149
NO,51.86861958103326,158.93922368085734,176.62699702138124,150695.2655512502,5779.824280560339,156475.08983181053,OWN-LLPS+,LLPS_OWN_UPRATE_TrueHYD_FalseFF_LLPSLOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,LLPS,OWN,True,False,B23-LLPS,-28.510714760373233,-35.47020511425941,0.0,0.0,21.969667063398816,14.205383650013596,4531.470870600082,3.1002690375552904,-3143.5763932069785,-35.22845726796005,1387.8944773930998,0.8949123583164776
NO,57.925535648578496,158.93922368085734,177.28935903450503,149732.58401357447,6265.677819344342,155998.2618329188,OW-LLPS+,LLPS_OW_UPRATE_TrueHYD_FalseFF_LLPSLOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,LLPS,OW,True,False,B23-LLPS,-22.453798692827995,-27.934790548845314,0.0,0.0,22.6320290765226,14.633660805259801,3568.7893329243525,2.4416370283227233,-2657.7228544229747,-29.783744466793358,911.066478501365,0.5874543519981288
NORDIC,65.40055901954538,405.41925855487466,460.8612936836368,378904.61240809626,17984.362114332944,396888.9745224292,B23-BA,BASELINE_23TWh_BA_FalseHYD_FalseFF_BALOAD_22.91TWH_NoneNUKE_NoneOFF,BA,BASELINE_23TWh,False,True,B23-BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDIC,69.22308850716813,405.41890808270057,460.9190846732142,377354.5591260124,18706.87127004712,396061.43039605947,B23-LLPS,BASELINE_23TWh_LLPS_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_NoneNUKE_NoneOFF,LLPS,BASELINE_23TWh,False,True,B23-LLPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDIC,51.686351345069134,405.41925855487466,478.5345122751567,384464.61631515,13034.486999350733,397499.1033145007,N-BA,BA_N_FalseHYD_FalseFF_BALOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,BA,N,False,False,B23-BA,-13.714207674476249,-20.969557263841843,0.0,0.0,17.673218591519912,3.83482380354812,5560.003907053731,1.46738881633496,-4949.875114982211,-27.523217579328673,610.1287920714822,0.15372782597592724
NORDIC,51.671033891287784,405.41925855487466,478.9507660558946,384470.826305905,13023.6240235892,397494.4503294942,OWN-BA,BA_OWN_FalseHYD_FalseFF_BALOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,BA,OWN,False,False,B23-BA,-13.729525128257599,-20.992978246798227,0.0,0.0,18.089472372257774,3.9251446411716855,5566.213897808746,1.469027748813387,-4960.738090743744,-27.58361992049859,605.4758070649696,0.15255546158558067
NORDIC,53.376687092843504,405.41925855487466,479.95070298139274,383779.3216495785,13396.405069447113,397175.72671902564,OW-BA,BA_OW_FalseHYD_FalseFF_BALOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,BA,OW,False,False,B23-BA,-12.02387192670188,-18.384968121004082,0.0,0.0,19.089409297755935,4.142115981399832,4874.709241482255,1.2865267621054945,-4587.95704488583,-25.5108133150265,286.7521965964115,0.07224997795452905
NORDIC,54.27245876387644,405.41890808270057,478.45342887153055,383415.8271116864,13662.079445318483,397077.9065570049,N-LLPS,LLPS_N_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,LLPS,N,False,False,B23-LLPS,-14.950629743291685,-21.59775020980685,0.0,0.0,17.534344198316376,3.804213099734849,6061.267985674029,1.6062527506524578,-5044.791824728636,-26.96758721382878,1016.476160945429,0.25664608642375447
NORDIC,54.38095691526199,405.41890808270057,478.873804940044,383371.83990962274,13700.441614696343,397072.2815243191,OWN-LLPS,LLPS_OWN_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,LLPS,OWN,False,False,B23-LLPS,-14.842131591906139,-21.441013268815965,0.0,0.0,17.95472026682984,3.8954169753156367,6017.28078361036,1.5945960206620882,-5006.429655350776,-26.762517275493956,1010.8511282596155,0.2552258439426352
NORDIC,57.16660068412766,405.41890808270057,479.98723504813995,382242.4872545418,14285.0633390505,396527.5505935923,OW-LLPS,LLPS_OW_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,LLPS,OW,False,False,B23-LLPS,-12.05648782304047,-17.41685914778565,0.0,0.0,19.06815037492578,4.136984344756489,4887.928128529398,1.2953144490556272,-4421.807930996618,-23.637346230508808,466.1201975328149,0.11768886383778826
NORDIC,50.82736951082264,405.41925855487466,478.93114334155337,384812.8640935023,12734.358331975302,397547.2224254776,N-BA+,BA_N_UPRATE_TrueHYD_FalseFF_BALOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,BA,N,True,False,B23-BA,-14.573189508722741,-22.282973918261845,0.0,0.0,18.069849657916564,3.9208868059813256,5908.251685406023,1.5592979055748697,-5250.003782357642,-29.192048897711874,658.2479030483519,0.1658518994740058
NORDIC,50.83552494595252,405.41925855487466,479.3881383337836,384809.5577230388,12722.35283962557,397531.9105626643,OWN-BA+,BA_OWN_UPRATE_TrueHYD_FalseFF_BALOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,BA,OWN,True,False,B23-BA,-14.565034073592862,-22.270503940555013,0.0,0.0,18.526844650146813,4.020047876458197,5904.94531494251,1.5584252926915112,-5262.009274707374,-29.258804072420926,642.9360402351012,0.1619939281530148
NORDIC,52.70204091717125,405.41925855487466,480.3806231593655,384052.83620190644,13174.213878707402,397227.0500806138,OW-BA+,BA_OW_UPRATE_TrueHYD_FalseFF_BALOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,BA,OW,True,False,B23-BA,-12.69851810237413,-19.41652837948846,0.0,0.0,19.519329475728682,4.235402222588894,5148.223793810175,1.3587123579971945,-4810.148235625542,-26.746282159165446,338.07555818458786,0.08518139325774653
NORDIC,53.41390065573358,405.41890808270057,478.84878931101184,383763.90280241525,13412.270157021823,397176.17295943707,N-LLPS+,LLPS_N_UPRATE_TrueHYD_FalseFF_LLPSLOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,LLPS,N,True,False,B23-LLPS,-15.809187851434551,-22.838027300381853,0.0,0.0,17.92970463779767,3.889989638964419,6409.343676402874,1.6984937696916924,-5294.6011130252955,-28.30297507580999,1114.7425633776002,0.28145698566580013
NORDIC,53.276413495533966,405.41890808270057,479.2984337564369,383819.64269677876,13333.367124736846,397153.0098215156,OWN-LLPS+,LLPS_OWN_UPRATE_TrueHYD_FalseFF_LLPSLOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,LLPS,OWN,True,False,B23-LLPS,-15.946675011634163,-23.036641900170153,0.0,0.0,18.379349083222735,3.987543517807136,6465.083570766379,1.7132649955893213,-5373.504145310273,-28.724761440541727,1091.5794254561188,0.2756086156545324
NORDIC,56.15669930799977,405.41890808270057,480.45045619038547,382651.9203677228,13984.174266636297,396636.0946343591,OW-LLPS+,LLPS_OW_UPRATE_TrueHYD_FalseFF_LLPSLOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,LLPS,OW,True,False,B23-LLPS,-13.066389199168356,-18.875767436778435,0.0,0.0,19.531371517171294,4.237483794149854,5297.3612417104305,1.4038153544453267,-4722.697003410822,-25.24578768536598,574.6642382996506,0.14509472374651305
