scenario,total_system,total_norway,NO1,NO2,NO3,NO4,NO5,DK1,DK2,EE,FI,LT,SE1,SE2,SE3,SE4,SNII,UN,VVD
N-LLPS+,10.933276,1.7854483,0.32972586,0.39909264,0.27649173,0.26141798,0.5187202,1.4207098,0.015149842,0.00011486986,1.7935879,0.006424188,1.7036524,3.8714838,0.25610098,0.08060451,0.0,0.0,0.0
OWN-LLPS+,10.979589,1.6450421,0.29288277,0.32305458,0.27234372,0.24700435,0.50975657,1.4054531,0.015082361,0.00011487045,1.7858868,0.0063160914,1.6817117,3.8399005,0.2601181,0.08053296,0.19837982177734376,0.06105201721191406,0.0
OW-LLPS+,11.327141,1.3141695,0.10959955,0.34346145,0.22545682,0.20931979,0.426332,1.4076629,0.014986788,0.00010637995,1.7588712,0.006345435,1.6050527,3.6586258,0.2551647,0.079373494,0.5718197631835937,0.08026775360107422,0.574695068359375
N-BA+,9.979684,1.3502921,0.22371194,0.3491793,0.1776459,0.16901653,0.43073842,1.399202,0.015011335,0.00010595968,1.7333394,0.0060809967,1.595852,3.5627847,0.2378852,0.079130664,0.0,0.0,0.0
OWN-BA+,10.048093,1.2318361,0.1954899,0.27946234,0.17295924,0.15791547,0.4260091,1.3844461,0.014997487,0.00010596,1.7287704,0.00617199,1.5817107,3.535279,0.23981728,0.0787138,0.187736328125,0.05850643920898437,0.0
OW-BA+,10.348381,0.9719203,0.068360694,0.29370317,0.1373432,0.12841292,0.34410036,1.3880265,0.01484262,0.000105249506,1.7063336,0.00597203,1.5013287,3.3443677,0.22838597,0.077705525,0.5351211547851562,0.07587802124023438,0.49839447021484373
N-LLPS,10.806898,1.7028251,0.2859517,0.3997656,0.29152578,0.241943,0.48363903,1.4185166,0.015087291,0.000105960695,1.7858856,0.0062140278,1.6856334,3.8571682,0.2550282,0.08043342,0.0,0.0,0.0
OWN-LLPS,10.880213,1.5830642,0.25295603,0.3277685,0.28530344,0.22883303,0.48820332,1.4057823,0.015082068,0.000105962405,1.7779667,0.0063640135,1.6744537,3.8202488,0.25969172,0.08025773,0.19691282653808595,0.060283134460449216,0.0
OW-LLPS,11.206646,1.2519089,0.08696974,0.34230536,0.23251265,0.19138084,0.39874038,1.4083785,0.014985307,0.00010638132,1.7572641,0.0062918933,1.5992713,3.6302242,0.2542449,0.07924311,0.55505517578125,0.08031549835205078,0.5693556518554688
N-BA,9.878325,1.2801975,0.18732782,0.34489247,0.19067273,0.15570521,0.4015993,1.3963456,0.014941121,0.00010595973,1.7332053,0.006080743,1.5755098,3.5559878,0.23661242,0.07933757,0.0,0.0,0.0
OWN-BA,9.954418,1.1746631,0.16439913,0.28138733,0.18410735,0.14475243,0.4000168,1.3834485,0.014916865,0.00010595872,1.7307321,0.0061894124,1.5659314,3.5193434,0.23949134,0.078148894,0.18436093139648438,0.05708651733398438,0.0
OW-BA,10.190983,0.90269923,0.052643914,0.29087082,0.14159246,0.11632273,0.3012693,1.3877528,0.014777061,0.000104867344,1.6994659,0.0060075414,1.4834511,3.3152795,0.22805546,0.07793664,0.5167836303710938,0.0744040069580078,0.4842647705078125
