Scenario,Area,Consumer Surplus (M€),Producer Surplus (M€),Societal Surplus (M€),Avg Price (€/MWh)
B+,NO1,32902.06,850.42,33752.48,56.39
B+,NO2,33725.88,2582.91,36308.79,59.85
B+,NO3,27420.93,336.70,27757.63,29.53
B+,NO4,19840.66,-52.25,19788.41,10.31
B+,NO5,16065.21,973.18,17038.39,54.32
B+,SE1,10653.91,-63.68,10590.24,9.67
B+,SE2,14892.27,-120.05,14772.23,10.52
B+,SE3,78672.48,2148.07,80820.54,56.03
B+,SE4,20555.77,429.77,20985.53,55.45
B+,DK1,20959.12,1830.43,22789.55,66.41
B+,DK2,13307.70,460.08,13767.78,57.15
B+,FI,74032.35,2711.54,76743.88,62.90
N-LLPS+,NO1,38639.38,1072.90,39712.27,51.56
N-LLPS+,NO2,39604.92,2493.04,42097.96,55.08
N-LLPS+,NO3,30725.25,1064.99,31790.24,69.31
N-LLPS+,NO4,22854.62,293.93,23148.55,24.28
N-LLPS+,NO5,18847.00,889.68,19736.68,50.47
N-LLPS+,SE1,10599.93,73.10,10673.03,14.69
N-LLPS+,SE2,14819.88,105.25,14925.13,15.33
N-LLPS+,SE3,78777.83,2050.02,80827.85,54.77
N-LLPS+,SE4,20582.50,419.75,21002.25,54.23
N-LLPS+,DK1,20997.88,1736.69,22734.57,64.68
N-LLPS+,DK2,13325.33,443.01,13768.33,55.90
N-LLPS+,FI,73989.41,2769.91,76759.32,63.45
OWN-LLPS+,NO1,38627.37,1043.33,39670.70,51.85
OWN-LLPS+,NO2,39662.20,2470.43,42132.62,53.72
OWN-LLPS+,NO3,30722.09,1066.27,31788.36,69.41
OWN-LLPS+,NO4,22842.33,305.74,23148.07,24.81
OWN-LLPS+,NO5,18841.28,894.20,19735.47,50.76
OWN-LLPS+,SE1,10596.92,80.38,10677.30,14.97
OWN-LLPS+,SE2,14815.56,119.26,14934.83,15.61
OWN-LLPS+,SE3,78791.80,2039.08,80830.88,54.60
OWN-LLPS+,SE4,20585.97,416.68,21002.65,54.07
OWN-LLPS+,DK1,21016.91,1686.04,22702.95,63.83
OWN-LLPS+,DK2,13326.43,441.98,13768.41,55.83
OWN-LLPS+,FI,73990.79,2770.11,76760.91,63.43
OW-LLPS+,NO1,38049.47,999.81,39049.29,66.04
OW-LLPS+,NO2,39749.78,2530.67,42280.45,51.63
OW-LLPS+,NO3,30551.98,1152.35,31704.34,74.56
OW-LLPS+,NO4,22792.76,352.83,23145.58,26.92
OW-LLPS+,NO5,18588.59,1230.36,19818.95,63.49
OW-LLPS+,SE1,10590.59,93.57,10684.16,15.56
OW-LLPS+,SE2,14806.64,149.71,14956.35,16.21
OW-LLPS+,SE3,78665.73,2151.28,80817.00,56.11
OW-LLPS+,SE4,20553.35,432.42,20985.77,55.57
OW-LLPS+,DK1,21041.54,1623.06,22664.60,62.74
OW-LLPS+,DK2,13313.58,453.26,13766.84,56.74
OW-LLPS+,FI,73947.90,2815.20,76763.10,63.97
N-BA+,NO1,38800.29,986.71,39787.00,47.61
N-BA+,NO2,39720.31,2354.83,42075.14,52.33
N-BA+,NO3,31256.69,819.49,32076.18,53.22
N-BA+,NO4,22927.05,227.39,23154.45,21.19
N-BA+,NO5,18922.73,810.86,19733.59,46.66
N-BA+,SE1,10596.85,78.89,10675.75,14.98
N-BA+,SE2,14814.87,122.96,14937.83,15.66
N-BA+,SE3,78840.41,2003.25,80843.66,54.02
N-BA+,SE4,20597.85,409.20,21007.05,53.52
N-BA+,DK1,21005.35,1721.17,22726.53,64.35
N-BA+,DK2,13330.35,438.37,13768.72,55.55
N-BA+,FI,74000.11,2761.22,76761.33,63.31
OWN-BA+,NO1,38792.36,962.08,39754.45,47.81
OWN-BA+,NO2,39766.02,2348.80,42114.81,51.24
OWN-BA+,NO3,31237.28,831.92,32069.19,53.80
OWN-BA+,NO4,22916.38,237.54,23153.93,21.65
OWN-BA+,NO5,18918.63,815.78,19734.41,46.86
OWN-BA+,SE1,10594.77,83.64,10678.41,15.17
OWN-BA+,SE2,14812.46,131.54,14944.00,15.82
OWN-BA+,SE3,78830.62,2011.68,80842.29,54.14
OWN-BA+,SE4,20595.30,410.27,21005.57,53.64
OWN-BA+,DK1,21018.43,1685.23,22703.66,63.76
OWN-BA+,DK2,13330.32,438.36,13768.67,55.55
OWN-BA+,FI,73996.98,2765.67,76762.64,63.35
OW-BA+,NO1,38445.07,863.15,39308.22,56.33
OW-BA+,NO2,39838.07,2425.17,42263.24,49.52
OW-BA+,NO3,31121.18,893.26,32014.43,57.32
OW-BA+,NO4,22875.85,274.94,23150.79,23.38
OW-BA+,NO5,18776.49,1043.03,19819.51,54.03
OW-BA+,SE1,10588.09,98.34,10686.43,15.79
OW-BA+,SE2,14802.39,162.87,14965.27,16.49
OW-BA+,SE3,78719.90,2112.67,80832.57,55.46
OW-BA+,SE4,20566.63,423.57,20990.20,54.95
OW-BA+,DK1,21043.31,1621.12,22664.43,62.66
OW-BA+,DK2,13317.57,449.75,13767.32,56.45
OW-BA+,FI,73958.28,2806.68,76764.96,63.84
