Scenario,Region,Consumer Surplus (M€),Producer Surplus (M€),Societal Surplus (M€)
B+,Norway,129954.8,4691.0,134645.7
B+,All Nordic,363028.3,12087.1,375115.4
N-LLPS+,Norway,150671.2,5814.5,156485.7
N-LLPS+,All Nordic,383763.9,13412.3,397176.2
OWN-LLPS+,Norway,150695.3,5780.0,156475.2
OWN-LLPS+,All Nordic,383819.7,13333.5,397153.2
OW-LLPS+,Norway,149732.6,6266.0,155998.6
OW-LLPS+,All Nordic,382651.9,13984.5,396636.4
N-BA+,Norway,151627.1,5199.3,156826.3
N-BA+,All Nordic,384812.8,12734.4,397547.2
OWN-BA+,Norway,151630.7,5196.1,156826.8
OWN-BA+,All Nordic,384809.5,12722.5,397532.0
OW-BA+,Norway,151056.7,5499.5,156556.2
OW-BA+,All Nordic,384052.8,13174.6,397227.4
