Scenario,Reactor,Marker,Area,Installed_Nuclear_Capacity_MW,Mean_Price_EUR_MWh
BASELINE30,SMR,B30,NO2,0,74.00
BASELINE30,SMR,B30,NO1,0,82.61
BASELINE30,SMR,B30,NO5,0,82.12
BASELINE30,SMR,B30,NO3,0,84.83
BASELINE30,SMR,B30,NO4,0,36.04
BASELINE30,SMR,B30,NO,0,71.92
BASELINE30,LMR,B30,NO2,0,74.00
BASELINE30,LMR,B30,NO1,0,82.61
BASELINE30,LMR,B30,NO5,0,82.12
BASELINE30,LMR,B30,NO3,0,84.83
BASELINE30,LMR,B30,NO4,0,36.04
BASELINE30,LMR,B30,NO,0,71.92
SMR300_BA,SMR,SMR,NO2,1500,68.87
SMR300_BA,SMR,SMR,NO1,1500,65.29
SMR300_BA,SMR,SMR,NO5,1500,64.38
SMR300_BA,SMR,SMR,NO3,1500,53.00
SMR300_BA,SMR,SMR,NO4,1500,18.79
SMR300_BA,SMR,SMR,NO,1500,54.07
SMR600_BA,SMR,SMR,NO2,3000,62.19
SMR600_BA,SMR,SMR,NO1,3000,54.75
SMR600_BA,SMR,SMR,NO5,3000,53.31
SMR600_BA,SMR,SMR,NO3,3000,32.93
SMR600_BA,SMR,SMR,NO4,3000,11.24
SMR600_BA,SMR,SMR,NO,3000,42.88
SMR900_BA,SMR,SMR,NO2,4500,50.92
SMR900_BA,SMR,SMR,NO1,4500,43.45
SMR900_BA,SMR,SMR,NO5,4500,41.55
SMR900_BA,SMR,SMR,NO3,4500,19.76
SMR900_BA,SMR,SMR,NO4,4500,7.23
SMR900_BA,SMR,SMR,NO,4500,32.58
SMR1200_BA,SMR,SMR,NO2,6000,37.01
SMR1200_BA,SMR,SMR,NO1,6000,31.16
SMR1200_BA,SMR,SMR,NO5,6000,29.34
SMR1200_BA,SMR,SMR,NO3,6000,12.07
SMR1200_BA,SMR,SMR,NO4,6000,4.97
SMR1200_BA,SMR,SMR,NO,6000,22.91
SMR1600_BA,SMR,SMR,NO2,8000,23.90
SMR1600_BA,SMR,SMR,NO1,8000,20.01
SMR1600_BA,SMR,SMR,NO5,8000,18.92
SMR1600_BA,SMR,SMR,NO3,8000,7.08
SMR1600_BA,SMR,SMR,NO4,8000,3.09
SMR1600_BA,SMR,SMR,NO,8000,14.60
LMR2000_BA,LMR,LMR,NO2,4000,44.01
LMR2000_BA,LMR,LMR,NO1,4000,40.40
LMR2000_BA,LMR,LMR,NO5,4000,40.32
LMR2000_BA,LMR,LMR,NO3,4000,55.44
LMR2000_BA,LMR,LMR,NO4,4000,24.38
LMR2000_BA,LMR,LMR,NO,4000,40.91
LMR3000_BA,LMR,LMR,NO2,6000,21.17
LMR3000_BA,LMR,LMR,NO1,6000,19.80
LMR3000_BA,LMR,LMR,NO5,6000,19.79
LMR3000_BA,LMR,LMR,NO3,6000,35.60
LMR3000_BA,LMR,LMR,NO4,6000,17.68
LMR3000_BA,LMR,LMR,NO,6000,22.81
LMR4000_BA,LMR,LMR,NO2,8000,11.42
LMR4000_BA,LMR,LMR,NO1,8000,10.79
LMR4000_BA,LMR,LMR,NO5,8000,10.79
LMR4000_BA,LMR,LMR,NO3,8000,23.24
LMR4000_BA,LMR,LMR,NO4,8000,11.42
LMR4000_BA,LMR,LMR,NO,8000,13.53
