scenario,area,technology,generation_gwh,curtailed_gwh,revenue_meur,opex_meur,net_revenue_meur,capacity_factor,value_factor,revenue_per_mwh,breakeven_capex_eur_per_kw,construction_years,gross_generation_gwh,generation_twh
N-LLPS+,NO1,Nuclear,14693.787,329.72586,721.60175,387.91595,333.6858,0.8388527,1.1307803,49.10931,2475.0364,5,,14.693788
N-LLPS+,NO2,Nuclear,6913.823,399.09262,367.21448,182.52493,184.68954,0.8785321,1.0521231,53.113083,3049.1135,5,,6.913823
OWN-LLPS+,NO1,Nuclear,13067.742,292.88278,644.70807,344.98837,299.7197,0.83971536,1.1291196,49.335842,2502.2961,5,,13.067742
OWN-LLPS+,SNII,Offshore Wind,6641.361,198.37982,329.14835,160.72095,168.4274,0.5430211,1.0124437,49.560375,1398.7877,4,6839.7392578125,6.6413608
OWN-LLPS+,UN,Offshore Wind,2124.8792,61.052017,104.8669,51.42208,53.444817,0.4864654,1.0081854,49.351936,1242.8046,4,2185.93115234375,2.1248791
OW-LLPS+,SNII,Offshore Wind,14084.766,571.8197,645.6214,340.85135,304.77005,0.5374228,0.9830062,45.838276,1181.1859,4,14656.5869140625,14.084765
OW-LLPS+,UN,Offshore Wind,2105.6636,80.267746,96.265816,50.95706,45.308754,0.48206618,0.98041826,45.717567,1053.6086,4,2185.93115234375,2.1056635
OW-LLPS+,VVD,Offshore Wind,5419.437,574.69507,269.31735,131.15038,138.16698,0.4135717,0.94171995,49.69471,1070.9777,4,5994.13134765625,5.419437
N-BA+,NO1,Nuclear,14780.831,223.71194,688.63153,390.21393,298.4176,0.843822,1.1189921,46.589497,2213.4429,5,,14.780831
N-BA+,NO2,Nuclear,6920.6733,349.1793,355.07663,182.70578,172.37085,0.87940264,1.0481706,51.30666,2845.7393,5,,6.9206734
OWN-BA+,NO1,Nuclear,13147.887,195.4899,614.8508,347.10422,267.7466,0.8448654,1.1159815,46.764233,2235.3596,5,,13.147886
OWN-BA+,SNII,Offshore Wind,6652.0044,187.73633,321.77444,160.97852,160.79593,0.5438913,1.0125219,48.372555,1335.4084,4,6839.7392578125,6.6520042
OWN-BA+,UN,Offshore Wind,2127.4248,58.50644,102.24397,51.48368,50.760292,0.48704815,1.005979,48.05997,1180.3785,4,2185.93115234375,2.1274247
OW-BA+,SNII,Offshore Wind,14121.466,535.12115,632.732,341.7395,290.9925,0.53882307,0.9794351,44.806396,1127.7885,4,14656.5869140625,14.121466
OW-BA+,UN,Offshore Wind,2110.0532,75.87801,94.19984,51.063293,43.136543,0.48307115,0.9758715,44.643345,1003.09607,4,2185.93115234375,2.1100533
OW-BA+,VVD,Offshore Wind,5495.737,498.39447,252.62152,132.99684,119.62468,0.41939434,0.96937054,45.966816,927.2502,4,5994.13134765625,5.4957366
N-LLPS,NO1,Nuclear,14703.442,285.95172,732.52344,388.17084,344.3526,0.8394039,1.1309644,49.81986,2554.1548,5,,14.703443
N-LLPS,NO2,Nuclear,6915.934,399.76566,370.96497,182.58066,188.38431,0.87880033,1.05263,53.63917,3110.1118,5,,6.915934
OWN-LLPS,NO1,Nuclear,13075.423,252.95607,656.79175,345.19116,311.6006,0.8402089,1.1285664,50.231014,2601.4868,5,,13.075423
OWN-LLPS,SNII,Offshore Wind,6642.8276,196.91283,336.37744,160.75644,175.621,0.543141,1.0127332,50.637688,1458.5304,4,6839.7392578125,6.6428275
OWN-LLPS,UN,Offshore Wind,2125.648,60.283134,107.12824,51.440685,55.687557,0.48664138,1.0079378,50.397923,1294.957,4,2185.93115234375,2.125648
OW-LLPS,SNII,Offshore Wind,14101.531,555.0552,654.1376,341.25705,312.88052,0.5380624,0.9797446,46.3877,1212.619,4,14656.5869140625,14.101531
OW-LLPS,UN,Offshore Wind,2105.6157,80.3155,97.55923,50.955902,46.603325,0.48205522,0.97858745,46.332874,1083.7125,4,2185.93115234375,2.1056156
OW-LLPS,VVD,Offshore Wind,5424.7764,569.3556,274.92783,131.27959,143.64824,0.41397917,0.93352854,50.680027,1113.4648,4,5994.13134765625,5.4247766
N-BA,NO1,Nuclear,14791.161,187.32779,705.1724,390.48666,314.68576,0.8444117,1.1190267,47.67526,2334.1082,5,,14.791162
N-BA,NO2,Nuclear,6924.098,344.89246,363.11032,182.79619,180.31413,0.87983775,1.0483165,52.441532,2976.878,5,,6.924098
OWN-BA,NO1,Nuclear,13154.624,164.39911,629.40436,347.28207,282.12228,0.8452983,1.1162304,47.846626,2355.3792,5,,13.154624
OWN-BA,SNII,Offshore Wind,6655.379,184.36092,328.6903,161.06018,167.63013,0.5441672,1.0119101,49.38717,1392.1665,4,6839.7392578125,6.655379
OWN-BA,UN,Offshore Wind,2128.8447,57.086517,104.425125,51.518044,52.90708,0.48737326,1.0050528,49.052486,1230.3,4,2185.93115234375,2.1288447
OW-BA,SNII,Offshore Wind,14139.803,516.7836,641.4416,342.18323,299.25836,0.5395227,0.9761082,45.36425,1159.8241,4,14656.5869140625,14.139803
OW-BA,UN,Offshore Wind,2111.5273,74.404015,95.47154,51.09896,44.37258,0.4834086,0.97288555,45.214447,1031.8389,4,2185.93115234375,2.1115274
OW-BA,VVD,Offshore Wind,5509.8667,484.2648,255.18716,133.33878,121.84839,0.42047265,0.9578057,46.314583,944.4869,4,5994.13134765625,5.5098667
SMR300-BA,NO1,Nuclear,2255.239,22.764168,160.3813,59.538307,100.842995,0.8605154,1.0892491,71.11499,4999.237,5,,2.255239
