Scenario,Area,Mean_Price,Median_Price,P95_Price,P5_Price,Max_Price,Min_Price,Std_Price
SMR300_BA,NO2,68.87,70.71,110.13,9.88,999.76,0.01,27.15
SMR300_BA,NO4,18.79,14.97,50.60,0.01,1000.00,0.01,32.55
SMR600_BA,NO2,62.19,63.74,108.98,8.99,999.76,0.01,29.49
SMR600_BA,NO4,11.24,9.86,26.93,0.01,999.87,0.01,11.46
SMR900_BA,NO2,50.92,48.12,105.63,8.14,999.76,0.01,28.99
SMR900_BA,NO4,7.23,7.95,15.01,0.01,110.27,0.01,5.21
SMR1200_BA,NO2,37.01,25.98,99.71,2.06,365.83,0.01,29.30
SMR1200_BA,NO4,4.97,5.57,9.99,0.01,110.11,0.01,3.55
SMR1600_BA,NO2,23.90,14.98,91.73,1.65,359.20,0.01,25.33
SMR1600_BA,NO4,3.09,2.88,8.49,0.01,15.00,0.01,2.72
LMR2000_BA,NO2,44.01,40.64,96.80,1.45,359.20,0.01,27.18
LMR2000_BA,NO4,24.38,14.98,62.33,0.01,1000.00,0.01,73.37
LMR3000_BA,NO2,21.17,15.14,72.56,0.01,359.09,0.01,21.47
LMR3000_BA,NO4,17.68,10.28,38.91,0.01,1000.00,0.01,68.81
LMR4000_BA,NO2,11.42,9.53,21.38,0.01,310.62,0.01,13.20
LMR4000_BA,NO4,11.42,8.52,18.33,0.01,1000.00,0.01,51.59
SMR300_LLPS,NO2,69.30,71.20,110.15,8.99,999.76,0.01,33.01
SMR300_LLPS,NO4,20.11,14.70,55.10,0.01,1000.00,0.01,49.14
SMR600_LLPS,NO2,63.49,64.80,110.13,8.60,999.76,0.01,32.89
SMR600_LLPS,NO4,11.70,9.71,28.67,0.01,999.87,0.01,23.37
SMR900_LLPS,NO2,53.41,51.31,108.24,2.81,999.76,0.01,31.86
SMR900_LLPS,NO4,7.43,7.86,15.52,0.01,999.87,0.01,11.24
SMR1200_LLPS,NO2,40.60,30.10,104.30,1.68,999.76,0.01,31.11
SMR1200_LLPS,NO4,5.03,5.57,10.40,0.01,137.52,0.01,4.20
SMR1600_LLPS,NO2,27.27,15.10,96.02,1.52,999.76,0.01,28.35
SMR1600_LLPS,NO4,3.09,2.79,8.63,0.01,15.00,0.01,2.79
LMR2000_LLPS,NO2,46.72,44.03,101.20,0.10,365.91,0.01,28.99
LMR2000_LLPS,NO4,28.97,14.99,69.02,0.01,1000.00,0.01,97.24
LMR3000_LLPS,NO2,24.56,16.03,91.33,0.01,359.31,0.01,25.02
LMR3000_LLPS,NO4,23.42,10.26,46.07,0.01,1000.00,0.01,99.51
LMR4000_LLPS,NO2,13.39,9.93,35.22,0.01,359.07,0.01,17.17
LMR4000_LLPS,NO4,15.79,8.58,23.24,0.01,1000.00,0.01,78.84
