Scenario,Area,"Mean (€/MWh, vol-weighted)",Std Dev (€/MWh)
BASELINE,NO1,56.387398,44.32143
BASELINE,NO2,59.847164,28.10337
BASELINE,NO3,29.53212,52.7184
BASELINE,NO4,10.313307,17.403759
BASELINE,NO5,54.32267,44.199993
BASELINE,SE1,9.674842,11.449852
BASELINE,SE2,10.51589,12.217286
BASELINE,SE3,56.032753,41.907772
BASELINE,SE4,55.454132,41.96899
BASELINE,DK1,66.406494,33.512375
BASELINE,DK2,57.153366,39.49636
BASELINE,FI,62.903812,99.046486
LLPS_N,NO1,51.55951,40.74924
LLPS_N,NO2,55.08316,28.98774
LLPS_N,NO3,69.31265,136.84665
LLPS_N,NO4,24.281008,63.52883
LLPS_N,NO5,50.471714,40.701797
LLPS_N,SE1,14.692859,15.26734
LLPS_N,SE2,15.3262415,15.794966
LLPS_N,SE3,54.76859,42.889423
LLPS_N,SE4,54.225716,42.959446
LLPS_N,DK1,64.67995,34.36625
LLPS_N,DK2,55.904263,39.121185
LLPS_N,FI,63.4473,98.86256
LLPS_OWN,NO1,51.854156,44.51442
LLPS_OWN,NO2,53.71662,30.188663
LLPS_OWN,NO3,69.40829,137.16031
LLPS_OWN,NO4,24.805538,65.09529
LLPS_OWN,NO5,50.75998,44.45781
LLPS_OWN,SE1,14.972676,15.880164
LLPS_OWN,SE2,15.612906,16.363855
LLPS_OWN,SE3,54.600906,42.12582
LLPS_OWN,SE4,54.066124,42.195854
LLPS_OWN,DK1,63.832214,35.016544
LLPS_OWN,DK2,55.826427,39.057976
LLPS_OWN,FI,63.42985,98.79397
LLPS_OW,NO1,66.03929,99.81107
LLPS_OW,NO2,51.627018,31.049526
LLPS_OW,NO3,74.56105,146.50423
LLPS_OW,NO4,26.921787,70.984634
LLPS_OW,NO5,63.49038,99.770645
LLPS_OW,SE1,15.560624,16.550459
LLPS_OW,SE2,16.205643,17.015455
LLPS_OW,SE3,56.113625,44.414158
LLPS_OW,SE4,55.565228,44.47313
LLPS_OW,DK1,62.735085,35.979393
LLPS_OW,DK2,56.736244,39.063858
LLPS_OW,FI,63.972694,98.862495
BA_N,NO1,47.612595,33.05939
BA_N,NO2,52.332397,26.878185
BA_N,NO3,53.21633,105.518
BA_N,NO4,21.190287,49.65507
BA_N,NO5,46.658375,33.003807
BA_N,SE1,14.978647,15.341148
BA_N,SE2,15.659074,15.844701
BA_N,SE3,54.01768,39.753254
BA_N,SE4,53.520275,39.836193
BA_N,DK1,64.34686,34.23661
BA_N,DK2,55.548347,38.69502
BA_N,FI,63.31184,98.665886
BA_OWN,NO1,47.80699,34.54125
BA_OWN,NO2,51.241886,27.622229
BA_OWN,NO3,53.80452,106.69184
BA_OWN,NO4,21.645748,51.521496
BA_OWN,NO5,46.864555,34.469707
BA_OWN,SE1,15.172273,16.355799
BA_OWN,SE2,15.819157,16.857437
BA_OWN,SE3,54.135128,40.291916
BA_OWN,SE4,53.63739,40.37054
BA_OWN,DK1,63.764286,34.73812
BA_OWN,DK2,55.55089,38.610863
BA_OWN,FI,63.351437,98.63527
BA_OW,NO1,56.331764,73.60736
BA_OW,NO2,49.52272,28.635317
BA_OW,NO3,57.321243,113.67015
BA_OW,NO4,23.376081,56.885303
BA_OW,NO5,54.02595,73.47019
BA_OW,SE1,15.793482,16.604885
BA_OW,SE2,16.487955,17.127865
BA_OW,SE3,55.46352,41.51663
BA_OW,SE4,54.954918,41.58636
BA_OW,DK1,62.65636,35.680786
BA_OW,DK2,56.454063,38.597572
BA_OW,FI,63.841244,98.62955
