Scenario,Series Type,Area,Area Order,Scenario Order,"No Uprate Mean (€/MWh, vol-weighted)","Uprate Mean (€/MWh, vol-weighted)",Delta Mean No Uprate - Uprate (€/MWh),No Uprate Std Dev (€/MWh),Uprate Std Dev (€/MWh),Delta Std Dev No Uprate - Uprate (€/MWh),Level Plotted,Delta Plotted
BASELINE,line,NO,0,0,46.21228,44.673695,1.5385857,46.781246,43.10934,3.6719055,True,False
BASELINE,line,NO1,1,0,57.84216,56.387398,1.4547615,48.093224,44.32143,3.7717934,True,False
BASELINE,line,NO2,2,0,60.665264,59.847164,0.8181,29.597065,28.10337,1.4936943,True,False
BASELINE,line,NO3,3,0,33.401543,29.53212,3.869423,60.789745,52.7184,8.071346,True,False
BASELINE,line,NO4,4,0,9.940806,10.313307,-0.37250042,15.310782,17.403759,-2.0929766,True,False
BASELINE,line,NO5,5,0,55.933205,54.32267,1.6105347,47.955116,44.199993,3.7551231,True,False
BASELINE,line,SE1,6,0,9.432883,9.674842,-0.24195862,10.861293,11.449852,-0.58855915,True,False
BASELINE,line,SE2,7,0,10.187654,10.51589,-0.32823658,11.602937,12.217286,-0.61434937,True,False
BASELINE,line,SE3,8,0,56.37722,56.032753,0.34446716,43.26389,41.907772,1.3561172,True,False
BASELINE,line,SE4,9,0,55.780643,55.454132,0.32651138,43.317356,41.96899,1.3483658,True,False
BASELINE,line,DK1,10,0,66.46481,66.406494,0.05831909,33.60777,33.512375,0.095394135,True,False
BASELINE,line,DK2,11,0,57.29079,57.153366,0.13742447,39.626167,39.49636,0.12980652,True,False
BASELINE,line,FI,12,0,62.88518,62.903812,-0.018630981,99.07035,99.046486,0.023864746,True,False
BASELINE,line,NORDIC,13,0,51.56052,50.9348,0.625721,50.192566,48.587242,1.6053238,False,False
LLPS_N,bar,NO,0,1,54.102158,52.02029,2.0818672,78.83197,74.268074,4.563896,True,True
LLPS_N,bar,NO1,1,1,52.529095,51.55951,0.9695854,40.93744,40.74924,0.18819809,True,True
LLPS_N,bar,NO2,2,1,55.802937,55.08316,0.71977615,28.939049,28.98774,-0.048690796,True,True
LLPS_N,bar,NO3,3,1,76.672646,69.31265,7.359993,149.25543,136.84665,12.408783,True,True
LLPS_N,bar,NO4,4,1,24.105768,24.281008,-0.17523956,61.866364,63.52883,-1.662468,True,True
LLPS_N,bar,NO5,5,1,51.59751,50.471714,1.1257973,40.90427,40.701797,0.20247269,True,True
LLPS_N,bar,SE1,6,1,14.757142,14.692859,0.06428337,15.422426,15.26734,0.15508652,True,True
LLPS_N,bar,SE2,7,1,15.536779,15.3262415,0.21053791,16.174555,15.794966,0.37958908,True,True
LLPS_N,bar,SE3,8,1,54.86248,54.76859,0.093891144,42.978947,42.889423,0.089523315,True,True
LLPS_N,bar,SE4,9,1,54.30798,54.225716,0.08226395,43.04557,42.959446,0.08612442,True,True
LLPS_N,bar,DK1,10,1,64.67023,64.67995,-0.009719849,34.45427,34.36625,0.088020325,True,True
LLPS_N,bar,DK2,11,1,55.99179,55.904263,0.08752823,39.243786,39.121185,0.122600555,True,True
LLPS_N,bar,FI,12,1,63.48139,63.4473,0.03409195,98.91027,98.86256,0.047714233,True,True
LLPS_N,bar,NORDIC,13,1,54.272457,53.413902,0.85855484,64.48621,62.14292,2.3432922,False,False
LLPS_OWN,bar,NO,0,2,54.221306,51.868614,2.3526917,79.92285,75.55212,4.370735,True,True
LLPS_OWN,bar,NO1,1,2,53.024902,51.854156,1.1707458,44.042675,44.51442,-0.47174454,True,True
LLPS_OWN,bar,NO2,2,2,54.931583,53.71662,1.214962,30.140503,30.188663,-0.048160553,True,True
LLPS_OWN,bar,NO3,3,2,76.834045,69.40829,7.4257584,149.38403,137.16031,12.223724,True,True
LLPS_OWN,bar,NO4,4,2,25.02356,24.805538,0.2180214,64.00778,65.09529,-1.0875092,True,True
LLPS_OWN,bar,NO5,5,2,52.02246,50.75998,1.2624817,44.00254,44.45781,-0.45526886,True,True
LLPS_OWN,bar,SE1,6,2,15.265186,14.972676,0.29251003,16.027147,15.880164,0.14698315,True,True
LLPS_OWN,bar,SE2,7,2,16.01114,15.612906,0.39823437,16.650358,16.363855,0.28650284,True,True
LLPS_OWN,bar,SE3,8,2,55.025013,54.600906,0.4241066,43.50405,42.12582,1.378231,True,True
LLPS_OWN,bar,SE4,9,2,54.478016,54.066124,0.41189194,43.56896,42.195854,1.3731041,True,True
LLPS_OWN,bar,DK1,10,2,64.071335,63.832214,0.23912048,34.994358,35.016544,-0.02218628,True,True
LLPS_OWN,bar,DK2,11,2,56.023167,55.826427,0.1967392,39.15505,39.057976,0.0970726,True,True
LLPS_OWN,bar,FI,12,2,63.585182,63.42985,0.15533066,98.845856,98.79397,0.051887512,True,True
LLPS_OWN,bar,NORDIC,13,2,54.38096,53.276413,1.1045456,65.09241,62.69221,2.400196,False,False
LLPS_OW,bar,NO,0,3,60.345932,57.92553,2.4204025,102.407814,98.14739,4.2604218,True,True
LLPS_OW,bar,NO1,1,3,68.007484,66.03929,1.968193,102.713585,99.81107,2.9025116,True,True
LLPS_OW,bar,NO2,2,3,52.630814,51.627018,1.0037956,31.729721,31.049526,0.68019485,True,True
LLPS_OW,bar,NO3,3,3,81.25166,74.56105,6.690613,156.89363,146.50423,10.389404,True,True
LLPS_OW,bar,NO4,4,3,26.875418,26.921787,-0.046369553,69.42008,70.984634,-1.5645523,True,True
LLPS_OW,bar,NO5,5,3,65.63893,63.49038,2.148552,102.63008,99.770645,2.859436,True,True
LLPS_OW,bar,SE1,6,3,15.728826,15.560624,0.16820145,16.66482,16.550459,0.11436081,True,True
LLPS_OW,bar,SE2,7,3,16.483528,16.205643,0.27788544,17.313951,17.015455,0.29849625,True,True
LLPS_OW,bar,SE3,8,3,56.233803,56.113625,0.12017822,44.34688,44.414158,-0.067276,True,True
LLPS_OW,bar,SE4,9,3,55.682083,55.565228,0.11685562,44.40276,44.47313,-0.07036972,True,True
LLPS_OW,bar,DK1,10,3,62.760494,62.735085,0.025409698,36.045456,35.979393,0.06606293,True,True
LLPS_OW,bar,DK2,11,3,56.855118,56.736244,0.118873596,39.16692,39.063858,0.103061676,True,True
LLPS_OW,bar,FI,12,3,64.02252,63.972694,0.049827576,98.84412,98.862495,-0.018379211,True,True
LLPS_OW,bar,NORDIC,13,3,57.1666,56.1567,1.0098991,77.29228,74.920746,2.3715363,False,False
BA_N,bar,NO,0,4,47.96259,46.008102,1.9544868,62.80055,58.382042,4.4185066,True,True
BA_N,bar,NO1,1,4,48.884792,47.612595,1.2721977,33.917168,33.05939,0.85777664,True,True
BA_N,bar,NO2,2,4,53.63089,52.332397,1.2984924,27.47861,26.878185,0.6004238,True,True
