Group,Load,Scenario,Uprate,"Mean (€/MWh, vol-weighted)",Std Dev (€/MWh)
N,LLPS,LLPS_N_NoUprate,No,54.102158,78.83197
N,BA,BA_N_NoUprate,No,47.96259,62.80055
OWN,LLPS,LLPS_OWN_NoUprate,No,54.221306,79.92285
OWN,BA,BA_OWN_NoUprate,No,47.8767,63.00853
OW,LLPS,LLPS_OW_NoUprate,No,60.345932,102.407814
OW,BA,BA_OW_NoUprate,No,51.201653,77.82395
N,LLPS,LLPS_N,Yes,52.02029,74.268074
N,BA,BA_N,Yes,46.008102,58.382042
OWN,LLPS,LLPS_OWN,Yes,51.868614,75.55212
OWN,BA,BA_OWN,Yes,45.9854,59.48137
OW,LLPS,LLPS_OW,Yes,57.92553,98.14739
OW,BA,BA_OW,Yes,49.596947,75.31411
BASELINE,-,BASELINE_NoUprate,No,46.21228,46.781246
BASELINE,-,BASELINE,Yes,44.673695,43.10934
