Scenario,Reactor_Type,Load_Profile,Nuclear_Config,Region,Consumer_Surplus_BEur,Producer_Surplus_BEur,Societal_Surplus_BEur
BASELINE,None,BA,N/A,Norway,152.28,9.61,161.89
BASELINE,None,BA,N/A,All_Nordic,382.97,20.08,403.04
SMR300_BA,SMR,BA,5×300MW SMR,Norway,155.57,7.67,163.24
SMR300_BA,SMR,BA,5×300MW SMR,All_Nordic,387.24,16.84,404.08
SMR600_BA,SMR,BA,5×600MW SMR,Norway,157.60,6.15,163.75
SMR600_BA,SMR,BA,5×600MW SMR,All_Nordic,390.14,14.19,404.33
SMR900_BA,SMR,BA,5×900MW SMR,Norway,159.50,4.38,163.87
SMR900_BA,SMR,BA,5×900MW SMR,All_Nordic,393.04,11.20,404.23
SMR1200_BA,SMR,BA,5×1200MW SMR,Norway,161.36,2.35,163.71
SMR1200_BA,SMR,BA,5×1200MW SMR,All_Nordic,395.92,7.98,403.90
SMR1600_BA,SMR,BA,5×1600MW SMR,Norway,163.03,0.33,163.36
SMR1600_BA,SMR,BA,5×1600MW SMR,All_Nordic,398.41,5.02,403.43
SMR300_LLPS,SMR,LLPS,5×300MW SMR,Norway,153.73,8.62,162.35
SMR300_LLPS,SMR,LLPS,5×300MW SMR,All_Nordic,385.32,17.84,403.17
SMR600_LLPS,SMR,LLPS,5×600MW SMR,Norway,156.33,6.90,163.24
SMR600_LLPS,SMR,LLPS,5×600MW SMR,All_Nordic,388.79,15.03,403.81
SMR900_LLPS,SMR,LLPS,5×900MW SMR,Norway,158.43,5.14,163.57
SMR900_LLPS,SMR,LLPS,5×900MW SMR,All_Nordic,391.80,12.13,403.93
SMR1200_LLPS,SMR,LLPS,5×1200MW SMR,Norway,160.47,3.12,163.60
SMR1200_LLPS,SMR,LLPS,5×1200MW SMR,All_Nordic,394.83,8.97,403.80
SMR1600_LLPS,SMR,LLPS,5×1600MW SMR,Norway,162.35,1.00,163.35
SMR1600_LLPS,SMR,LLPS,5×1600MW SMR,All_Nordic,397.60,5.82,403.42
LMR2000_BA,LMR,BA,2×2000MW LMR,Norway,157.98,5.43,163.41
LMR2000_BA,LMR,BA,2×2000MW LMR,All_Nordic,391.22,12.94,404.16
LMR3000_BA,LMR,BA,2×3000MW LMR,Norway,161.48,1.58,163.06
LMR3000_BA,LMR,BA,2×3000MW LMR,All_Nordic,396.39,7.12,403.51
LMR4000_BA,LMR,BA,2×4000MW LMR,Norway,163.33,-0.52,162.82
LMR4000_BA,LMR,BA,2×4000MW LMR,All_Nordic,398.92,4.16,403.08
LMR2000_LLPS,LMR,LLPS,2×2000MW LMR,Norway,156.16,6.66,162.82
LMR2000_LLPS,LMR,LLPS,2×2000MW LMR,All_Nordic,389.20,14.34,403.55
LMR3000_LLPS,LMR,LLPS,2×3000MW LMR,Norway,159.60,2.97,162.56
LMR3000_LLPS,LMR,LLPS,2×3000MW LMR,All_Nordic,394.36,8.65,403.01
LMR4000_LLPS,LMR,LLPS,2×4000MW LMR,Norway,161.91,0.47,162.38
LMR4000_LLPS,LMR,LLPS,2×4000MW LMR,All_Nordic,397.42,5.24,402.66
