Scenario,Area,Mean Spillage (m³/s),Mean Discharge (m³/s),Spillage/Discharge (%),Num Reservoirs
BASELINE,NO1,2422.925,10277.371,23.575338,
BASELINE,NO2,406.582,6145.5894,6.6158338,
BASELINE,NO3,281.103,1906.2241,14.746587,
BASELINE,NO4,446.05887,3149.1333,14.164497,
BASELINE,NO5,116.554535,1029.9304,11.316739,
LLPS_N,NO1,2442.9878,10281.73,23.760473,
LLPS_N,NO2,424.66763,6135.7607,6.9211893,
LLPS_N,NO3,259.45264,1912.9485,13.56297,
LLPS_N,NO4,427.89093,3168.6838,13.503744,
LLPS_N,NO5,118.65474,1028.8525,11.532725,
LLPS_OWN,NO1,2445.1506,10278.158,23.789774,
LLPS_OWN,NO2,434.95166,6125.8926,7.100217,
LLPS_OWN,NO3,259.43573,1913.0455,13.561399,
LLPS_OWN,NO4,425.8173,3170.5952,13.430201,
LLPS_OWN,NO5,118.39175,1028.9152,11.506464,
LLPS_OW,NO1,2433.7195,10275.293,23.68516,
LLPS_OW,NO2,477.86343,6094.1616,7.8413315,
LLPS_OW,NO3,257.12775,1913.981,13.434185,
LLPS_OW,NO4,421.7153,3174.5635,13.284198,
LLPS_OW,NO5,117.549644,1029.7437,11.415428,
BA_N,NO1,2443.0203,10283.613,23.75644,
BA_N,NO2,424.2971,6137.525,6.9131627,
BA_N,NO3,258.78864,1913.9088,13.521472,
BA_N,NO4,423.8456,3172.2312,13.36112,
BA_N,NO5,118.533356,1029.3813,11.515009,
BA_OWN,NO1,2443.069,10281.137,23.762636,
BA_OWN,NO2,434.7263,6126.567,7.095757,
BA_OWN,NO3,258.5089,1913.8424,13.507324,
BA_OWN,NO4,423.69644,3172.6443,13.354678,
BA_OWN,NO5,118.43096,1029.3513,11.505398,
BA_OW,NO1,2432.8506,10277.912,23.67067,
BA_OW,NO2,479.29422,6093.861,7.865198,
BA_OW,NO3,255.60481,1915.0911,13.346874,
BA_OW,NO4,418.7791,3177.202,13.180752,
BA_OW,NO5,117.546234,1030.2974,11.408962,
