plant,reservoir,area,scenario,mean_mw,max_mw,p95_mw,p99_mw,zero_fraction
alta,alta,NO4,B,76.80879662147414,172.25010681152344,156.23873901367188,167.51919555664062,0.03344017094017094
alta,alta,NO4,B+,93.10350115527015,309.9721984863281,245.2729949951172,282.22393798828125,0.05039300976800977
alta,alta,NO4,N-BA,76.77260390255395,172.25010681152344,156.61204528808594,167.51922607421875,0.03324175824175824
alta,alta,NO4,N-BA+,93.1340021818425,309.5905456542969,246.91334533691406,283.82316345214844,0.05237713675213675
alta,alta,NO4,OWN-BA,76.74091769743043,172.25010681152344,156.55332946777344,167.51922607421875,0.03420329670329671
alta,alta,NO4,OWN-BA+,93.10344037939178,309.426513671875,247.70176696777344,284.15313720703125,0.050602869352869354
alta,alta,NO4,OW-BA,76.69900946036738,172.25010681152344,156.2387237548828,167.51922607421875,0.032913614163614165
alta,alta,NO4,OW-BA+,93.03840123493487,309.6517333984375,246.5769805908203,284.1468505859375,0.04770680708180708
aura,aura,NO3,B,195.49944890390674,294.9463195800781,294.94580078125,294.9459228515625,0.18120039682539682
aura,aura,NO3,B+,202.32694152339545,770.36767578125,743.7681884765625,761.5156860351562,0.31127518315018315
aura,aura,NO3,N-BA,202.18973500379326,294.9462585449219,294.94580078125,294.9459228515625,0.19884768009768009
aura,aura,NO3,N-BA+,204.52577915990574,770.408447265625,749.1428833007812,761.7733154296875,0.3358630952380952
aura,aura,NO3,OWN-BA,202.15269807217544,295.04010009765625,294.94580078125,294.9459228515625,0.1968635531135531
aura,aura,NO3,OWN-BA+,204.58334099068028,770.2483520507812,748.9293212890625,761.7491455078125,0.3316239316239316
aura,aura,NO3,OW-BA,202.37306828198578,294.951904296875,294.94580078125,294.9459228515625,0.19042277167277166
aura,aura,NO3,OW-BA+,204.4978784954383,770.0201416015625,748.32421875,761.6788330078125,0.3200091575091575
kvanndal,kvanndal,NO2,B,18.61541423234172,40.20405197143555,39.411415100097656,39.76582336425781,0.3144574175824176
kvanndal,kvanndal,NO2,B+,18.55038511594401,79.72886657714844,75.94976806640625,78.39967346191406,0.4061011904761905
kvanndal,kvanndal,NO2,N-BA,18.618405898234595,40.28730392456055,39.38932800292969,39.77218246459961,0.32268772893772896
kvanndal,kvanndal,NO2,N-BA+,18.54740382383466,79.89153289794922,75.33993530273438,78.38611602783203,0.405273199023199
kvanndal,kvanndal,NO2,OWN-BA,18.63884930319512,40.29773712158203,39.42979431152344,39.87197193145752,0.33317689255189253
kvanndal,kvanndal,NO2,OWN-BA+,18.54978839623061,80.06285858154297,75.87708282470703,78.62921905517578,0.42233287545787546
kvanndal,kvanndal,NO2,OW-BA,18.64627250504921,40.28948211669922,39.52632141113281,39.94544300079346,0.33135302197802197
kvanndal,kvanndal,NO2,OW-BA+,18.607967171263315,80.59070587158203,77.26950073242188,79.0631332397461,0.4495459401709402
mauranger,mauranger,NO5,B,121.03219376181647,258.24188232421875,253.5449981689453,257.352294921875,0.3614125457875458
mauranger,mauranger,NO5,B+,130.65565495148138,905.3494262695312,489.0751647949219,799.1231591796875,0.4552312271062271
mauranger,mauranger,NO5,N-BA,119.65800330364634,258.24188232421875,253.8327178955078,257.5545349121094,0.3651633089133089
mauranger,mauranger,NO5,N-BA+,130.84699446261243,907.147705078125,512.858154296875,861.2691650390625,0.4722489316239316
mauranger,mauranger,NO5,OWN-BA,119.6482636265246,258.24188232421875,253.67938232421875,257.5383975219727,0.36504884004884003
mauranger,mauranger,NO5,OWN-BA+,130.89068256990174,905.850830078125,520.8113616943356,864.1743902587891,0.4755837912087912
mauranger,mauranger,NO5,OW-BA,119.8210115344963,258.24188232421875,253.6645050048828,257.4931640625,0.34940094627594626
mauranger,mauranger,NO5,OW-BA+,130.60752435366103,908.385986328125,533.0368041992188,871.7610601806641,0.466632326007326
nore_i,nore_1,NO1,B,109.30871448183424,203.5457305908203,203.37513732910156,203.49591384887697,0.12929258241758243
nore_i,nore_1,NO1,B+,126.63197106681952,406.99237060546875,376.94772644038534,406.68438720703125,0.14051053113553114
