plant,reservoir,area,scenario,mean_mw,max_mw,p95_mw,p99_mw,zero_fraction
kvanndal,kvanndal,NO2,B,18.61541423234172,40.20405197143555,39.411415100097656,39.76582336425781,0.3144574175824176
kvanndal,kvanndal,NO2,B+,18.55038511594401,79.72886657714844,75.94976806640625,78.39967346191406,0.4061011904761905
kvanndal,kvanndal,NO2,N-BA,18.618405898234595,40.28730392456055,39.38932800292969,39.77218246459961,0.32268772893772896
kvanndal,kvanndal,NO2,N-BA+,18.54740382383466,79.89153289794922,75.33993530273438,78.38611602783203,0.405273199023199
kvanndal,kvanndal,NO2,OWN-BA,18.63884930319512,40.29773712158203,39.42979431152344,39.87197193145752,0.33317689255189253
kvanndal,kvanndal,NO2,OWN-BA+,18.54978839623061,80.06285858154297,75.87708282470703,78.62921905517578,0.42233287545787546
kvanndal,kvanndal,NO2,OW-BA,18.64627250504921,40.28948211669922,39.52632141113281,39.94544300079346,0.33135302197802197
kvanndal,kvanndal,NO2,OW-BA+,18.607967171263315,80.59070587158203,77.26950073242188,79.0631332397461,0.4495459401709402
mauranger,mauranger,NO5,B,121.03219376181647,258.24188232421875,253.5449981689453,257.352294921875,0.3614125457875458
mauranger,mauranger,NO5,B+,130.65565495148138,905.3494262695312,489.0751647949219,799.1231591796875,0.4552312271062271
mauranger,mauranger,NO5,N-BA,119.65800330364634,258.24188232421875,253.8327178955078,257.5545349121094,0.3651633089133089
mauranger,mauranger,NO5,N-BA+,130.84699446261243,907.147705078125,512.858154296875,861.2691650390625,0.4722489316239316
mauranger,mauranger,NO5,OWN-BA,119.6482636265246,258.24188232421875,253.67938232421875,257.5383975219727,0.36504884004884003
mauranger,mauranger,NO5,OWN-BA+,130.89068256990174,905.850830078125,520.8113616943356,864.1743902587891,0.4755837912087912
mauranger,mauranger,NO5,OW-BA,119.8210115344963,258.24188232421875,253.6645050048828,257.4931640625,0.34940094627594626
mauranger,mauranger,NO5,OW-BA+,130.60752435366103,908.385986328125,533.0368041992188,871.7610601806641,0.466632326007326
roeldal,roeldal,NO2,B,95.6811381566801,162.46971130371094,160.0000457763672,160.57286392211915,0.18703830891330891
roeldal,roeldal,NO2,B+,98.65598213322224,322.4505310058594,305.3138427734375,315.6176452636719,0.2572229853479853
roeldal,roeldal,NO2,N-BA,95.38588989710782,162.397705078125,160.00003051757812,160.6088409423828,0.1965850122100122
roeldal,roeldal,NO2,N-BA+,98.83938440009499,326.23712158203125,303.52591094970705,316.5942141723633,0.2723290598290598
roeldal,roeldal,NO2,OWN-BA,95.06770008252268,162.40933227539062,160.00009155273438,160.88728652954103,0.21219856532356532
roeldal,roeldal,NO2,OWN-BA+,98.90392975266678,322.9458923339844,306.4535842895508,317.20513916015625,0.28949175824175827
roeldal,roeldal,NO2,OW-BA,94.35551894930431,162.92579650878906,160.0001678466797,161.07470703125,0.23170787545787547
roeldal,roeldal,NO2,OW-BA+,99.28084330209681,323.9080810546875,311.8425598144531,319.08472320556643,0.3180746336996337
