Plant,Area,Value Factor No Uprate,Value Factor Uprate,Capacity Factor No Uprate,Capacity Factor Uprate
nore_i,NO1,0.8372699,0.7462017,0.5447554,0.31634203
nore_ii,NO1,0.83284074,0.74897957,0.57158726,0.3388787
kvanndal,NO2,1.078645,1.2213256,0.4656652,0.2321616
novle,NO2,1.0485605,1.0734497,0.64382076,0.33193636
roeldal,NO2,1.013241,1.0140299,0.59386784,0.30935627
suldal_i,NO2,0.957892,0.9614994,0.6761819,0.349988
suldal_ii,NO2,0.8852827,0.9384211,0.5129634,0.26500338
svandalsflona,NO2,1.1054773,1.04691,0.21419314,0.10673616
aura,NO3,1.0127032,1.1235878,0.68659174,0.26673552
osbu,NO3,1.0101413,0.9775154,0.5988106,0.15609176
svean,NO3,0.7445383,0.7470973,0.41657686,0.31914726
alta,NO4,0.6313743,0.5711225,0.5118375,0.3448782
mauranger,NO5,1.085539,1.084556,0.47940227,0.1485032
